pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,284995,4833403.55,451688.41,0.0935
Williamsburg,68412,1111824.5,108814.34,0.0979
West Village,374664,4832649.03,462916.15,0.0958
Ridgewood,420,6369.04,481.56,0.0756
Clearview,22,517.94,54.78,0.1058
Williams Bridge,58,1401.94,100.95,0.072
Cobble Hill,9179,169760.85,18322.16,0.1079
Inwood,956,20483.26,1573.08,0.0768
Queens Village,78,1513.88,46.74,0.0309
Auburndale,57,1123.04,62.05,0.0553
Jackson Heights,9152,182370.05,12081.38,0.0662
Bensonhurst,209,3914.64,229.88,0.0587
University Heights,144,2412.49,161.67,0.067
Greenwood,1780,32761.73,3043.28,0.0929
Wakefield-Williamsbridge,61,1318.6,43.77,0.0332
Park Slope,17088,273152.19,25648.6,0.0939
Chinatown,46861,666704.12,51207.77,0.0768
Corona,469,19108.09,2018.16,0.1056
South Bronx,673,9816.34,457.96,0.0467
Sunny Side,42081,737212.23,55318.92,0.075
Soho,307559,4040871.1,382464.67,0.0946
Dyker Heights,102,2096.65,151.44,0.0722
Upper West Side,1090914,13113861.02,1139480.93,0.0869
Harlem,60856,855143.35,70948.07,0.083
Bay Ridge,636,11716.89,1069.4,0.0913
Woodhaven-Richmond Hill,516,10076.06,716.04,0.0711
Jamaica,3078,162657.47,13556.38,0.0833
Bedford Park,158,2672.12,164.54,0.0616
East Village,491185,6323589.57,615089.04,0.0973
Hunts Point,184,2770.81,221.5,0.0799
Gravesend-Sheepshead Bay,528,9920.73,649.66,0.0655
Lower East Side,314789,4433370.7,417247.11,0.0941
Mapleton-Flatlands,1094,18004.01,1105.85,0.0614
Baychester,17,396.5,11.5,0.029
Upper East Side,1790108,21223030.37,1803751.35,0.085
Union Port,164,2892.94,172.63,0.0597
Central Park,186563,2221086.83,181973.5,0.0819
Woodside,10383,161871.31,9476.82,0.0585
Greenwich Village,632950,7804047.98,727354.11,0.0932
Forest Hills,5036,105847.24,7643.17,0.0722
Middle Village,234,3882.98,207.18,0.0534
Downtown,33383,559338.69,50831.15,0.0909
Morris Heights,277,3951.81,279.89,0.0708
Steinway,32,459.74,45.91,0.0999
Utopia,964,31698.03,2437.24,0.0769
Boerum Hill,19393,308969.84,28737.05,0.093
Fort Green,34505,554989.56,51233.49,0.0923
Brownsville,187,3210.58,187.77,0.0585
Bushwick,3524,55083.28,5071.23,0.0921
Clinton,453962,5651203.24,478383.46,0.0847
City Island,10,194.12,6.12,0.0315
Borough Park,2750,44506.83,3709.17,0.0833
Gramercy,1085871,12791100.61,1219066.12,0.0953
Astoria-Long Island City,65290,1007067.72,72700.67,0.0722
Garment District,716336,8798980.32,704654.27,0.0801
Morningside Heights,83858,1188467.49,105653.11,0.0889
Flushing,1310,36521.42,2849.7,0.078
East Harlem,42971,577733.78,41826.76,0.0724
Mott Haven,2689,39662.93,2114.8,0.0533
Washington Heights,16509,328311.18,29193.64,0.0889
Carroll Gardens,24991,457016.62,47345.13,0.1036
Flatbush,27,582.41,45.25,0.0777
Laurelton,84,2899.52,178.24,0.0615
Canarsie,173,3308.86,188.56,0.057
Tribeca,235357,3319722.66,326403.94,0.0983
The Rockaways,36,922.43,61.35,0.0665
High Bridge,1133,19800.21,1206.45,0.0609
Midtown,2129225,25842247.26,2268355.29,0.0878
Saintalbans,50,1003.94,67.46,0.0672
Queensboro Hill,140,2161.48,123.52,0.0571
Tremont,266,4149.38,250.41,0.0603
Chelsea,953502,11585021.59,1105123.59,0.0954
Carnegie Hill,148223,1770246.24,144858.85,0.0818
Douglastown-Little Neck,201,3516.37,284.1,0.0808
Murray Hill,455375,5371682.23,487229.52,0.0907
East Brooklyn,266,6214.52,446.56,0.0719
Nkew Gardens,1351,35798.82,2816.74,0.0787
Springfield Gardens,510,24912.31,2102.4,0.0844
Woodlawn-Nordwood,43,864.56,38.23,0.0442
Hamilton Heights,24612,394721.0,32549.47,0.0825
Parkchester,313,4575.4,278.72,0.0609
Bedford-Stuyvesant,5771,89647.94,7149.32,0.0797
Morris Park,152,3061.79,146.71,0.0479
Sunset Park,728,12769.82,925.08,0.0724
Country Club,30,631.43,21.93,0.0347
Maspeth,1140,39218.07,3327.57,0.0848
Throggs Neck,76,1217.46,85.65,0.0704
North Sutton Area,148181,1737733.13,146326.26,0.0842
Soundview,172,3103.51,238.21,0.0768
Glendale,121,2354.98,133.38,0.0566
Little Italy,127723,1676527.93,159754.67,0.0953
Riverdale,122,2901.29,273.53,0.0943
Fordham,149,2493.39,169.57,0.068
Yorkville,106195,1368956.68,107572.06,0.0786
Kings Bridge,158,2886.03,181.48,0.0629
Spuyten Duyvil,73,1822.8,137.16,0.0752
Battery Park,117669,1954551.78,195669.07,0.1001
