Neighborhood,tripsnumber,revenue,tipamount,tippercentage,season
Financial District,841687,14251449.13,1338047.7,0.0939,1
Williamsburg,197653,3156714.31,305627.56,0.0968,1
West Village,1159321,14633960.15,1397960.55,0.0955,1
Ridgewood,1391,21613.25,1496.56,0.0692,1
Jackson Heights,27082,519170.23,34178.87,0.0658,1
Williams Bridge,264,4488.74,288.43,0.0643,1
Cobble Hill,28158,521824.54,54921.25,0.1052,1
Inwood,2641,52148.44,4072.87,0.0781,1
Harlem,193899,2675074.14,214961.38,0.0804,1
Auburndale,235,4511.43,246.13,0.0546,1
Gramercy,3484090,40349383.06,3843214.63,0.0952,1
Bensonhurst,716,11722.18,823.82,0.0703,1
University Heights,553,9005.93,461.08,0.0512,1
Greenwood,5289,94979.2,9027.7,0.095,1
Wakefield-Williamsbridge,252,4950.29,276.87,0.0559,1
Park Slope,48671,753749.42,68604.96,0.091,1
Chinatown,148332,2089027.92,158487.72,0.0759,1
Corona,1586,63074.5,6498.26,0.103,1
South Bronx,2547,36726.71,1832.67,0.0499,1
Sunny Side,131649,2283777.92,174057.87,0.0762,1
Soho,1001902,12984682.29,1233581.82,0.095,1
Clearview,92,1729.09,140.95,0.0815,1
Dyker Heights,420,7982.48,681.16,0.0853,1
Upper West Side,3498942,41518449.37,3563601.98,0.0858,1
Queens Village,270,5797.16,321.12,0.0554,1
Bay Ridge,2011,36554.11,2687.17,0.0735,1
Woodhaven-Richmond Hill,1260,25595.05,1679.81,0.0656,1
Jamaica,9112,488225.34,41907.38,0.0858,1
Bedford Park,519,10146.63,736.03,0.0725,1
East Village,1529074,19409754.93,1860038.43,0.0958,1
Hunts Point,444,6838.85,473.57,0.0692,1
Gravesend-Sheepshead Bay,1571,27217.66,1907.01,0.0701,1
Lower East Side,980700,13577758.29,1260993.71,0.0929,1
Mapleton-Flatlands,3815,59141.92,4052.66,0.0685,1
Baychester,51,1049.8,42.97,0.0409,1
Upper East Side,5753555,66723640.07,5601304.53,0.0839,1
Union Port,582,9477.92,578.54,0.061,1
Central Park,569884,6669570.42,541294.53,0.0812,1
Woodside,32649,510320.47,29749.85,0.0583,1
Greenwich Village,2056216,24956531.78,2327466.42,0.0933,1
Forest Hills,16069,320157.39,21673.61,0.0677,1
Middle Village,621,11601.68,732.19,0.0631,1
Downtown,101268,1710514.73,154204.68,0.0902,1
Morris Heights,1016,14759.1,868.49,0.0588,1
Steinway,143,1839.85,187.52,0.1019,1
Utopia,3032,99485.64,8135.21,0.0818,1
Boerum Hill,58871,916524.17,83593.72,0.0912,1
Fort Green,99098,1570114.94,138017.54,0.0879,1
Brownsville,702,10901.66,568.27,0.0521,1
Bushwick,9162,140442.55,12116.35,0.0863,1
Clinton,1388843,16989122.61,1436855.49,0.0846,1
City Island,66,1035.34,76.01,0.0734,1
Borough Park,5603,97698.22,7891.71,0.0808,1
Parkchester,1321,21232.89,1657.08,0.078,1
Astoria-Long Island City,190989,2931663.71,212967.77,0.0726,1
Garment District,2278693,27198019.55,2173029.55,0.0799,1
Morningside Heights,335265,4777150.68,437268.03,0.0915,1
Flushing,4553,123237.87,9442.16,0.0766,1
East Harlem,138365,1794576.17,124433.65,0.0693,1
Mott Haven,9561,136393.4,7082.2,0.0519,1
Carroll Gardens,72761,1326224.38,137762.56,0.1039,1
Flatbush,88,1405.76,135.1,0.0961,1
Laurelton,201,5627.83,528.03,0.0938,1
Canarsie,883,17539.79,1574.87,0.0898,1
Tribeca,763046,10673719.38,1046810,0.0981,1
The Rockaways,140,2808.87,204.12,0.0727,1
High Bridge,3357,55717.28,3193.98,0.0573,1
Midtown,6923563,82289763.1,7230604.59,0.0879,1
Saintalbans,192,3268.9,210.07,0.0643,1
Queensboro Hill,401,7561.07,695.29,0.092,1
Tremont,855,13893.52,759.12,0.0546,1
Washington Heights,55004,1077540.35,97408.62,0.0904,1
Carnegie Hill,502365,5844715.21,468557.42,0.0802,1
Douglastown-Little Neck,717,12455.52,1077.49,0.0865,1
Murray Hill,1461658,16943136.12,1542634.86,0.091,1
East Brooklyn,930,21094.27,1551.6,0.0736,1
Nkew Gardens,4654,109379.88,8084.03,0.0739,1
Springfield Gardens,1236,60840.27,5033.78,0.0827,1
Woodlawn-Nordwood,199,3808.64,246.72,0.0648,1
Hamilton Heights,82147,1293419.11,106359.21,0.0822,1
Bedford-Stuyvesant,17050,257662.82,20448.3,0.0794,1
Morris Park,430,8371.44,479.29,0.0573,1
Sunset Park,2012,35209.34,2380.97,0.0676,1
Chelsea,2996960,35741464.67,3417280.86,0.0956,1
Country Club,175,4124.44,293.8,0.0712,1
Maspeth,3610,124487.27,10227.22,0.0822,1
Throggs Neck,195,3982.71,325.96,0.0818,1
North Sutton Area,463814,5364776.46,446900.11,0.0833,1
Soundview,664,10372.66,613.92,0.0592,1
Glendale,487,8950.28,596.23,0.0666,1
Little Italy,399084,5135061.21,489135.12,0.0953,1
Riverdale,427,8768.03,647.29,0.0738,1
Fordham,509,8603.72,455.29,0.0529,1
Yorkville,348018,4408653.08,339741.3,0.0771,1
Kings Bridge,657,10459.83,615.1,0.0588,1
Spuyten Duyvil,204,4950.86,454.11,0.0917,1
Battery Park,351362,5845545.23,594856.77,0.1018,1
Financial District,865047,14631536.45,1330501.35,0.0909,2
Williamsburg,191638,3093999.14,302259.91,0.0977,2
West Village,1063740,13575436.55,1301130.24,0.0958,2
Ridgewood,1340,20830.77,1513.05,0.0726,2
Clearview,78,1582.92,146.59,0.0926,2
Williams Bridge,148,2961.68,141.54,0.0478,2
Cobble Hill,24765,460518.85,49597.94,0.1077,2
Inwood,2567,54948.11,4786.16,0.0871,2
Queens Village,243,4122.65,199.21,0.0483,2
Auburndale,190,4045.27,351.98,0.087,2
Jackson Heights,26050,516714.43,33600.5,0.065,2
Bensonhurst,569,10654.89,708.78,0.0665,2
University Heights,383,6762.06,365.85,0.0541,2
Greenwood,5300,95932.14,9241.9,0.0963,2
Wakefield-Williamsbridge,190,4135.33,192.02,0.0464,2
Park Slope,44673,710912.45,67388.33,0.0948,2
Chinatown,137427,1941424.31,143362.13,0.0738,2
Corona,1444,58356.96,6239.38,0.1069,2
South Bronx,1886,27536.48,1493.46,0.0542,2
Sunny Side,123349,2135577.24,163222.04,0.0764,2
Soho,903391,11781740.87,1110507.53,0.0943,2
Dyker Heights,291,6713.72,422.16,0.0629,2
Upper West Side,2919135,34772608.38,3033852.68,0.0872,2
Harlem,167703,2350099.85,195814.13,0.0833,2
Bay Ridge,1705,32358.75,2726.03,0.0842,2
Woodhaven-Richmond Hill,1329,27474.58,1620.04,0.059,2
Jamaica,8632,450898.04,37169.59,0.0824,2
Bedford Park,407,7237.65,466.37,0.0644,2
East Village,1385130,17701088.27,1720850.95,0.0972,2
Hunts Point,375,6058.58,376.69,0.0622,2
Gravesend-Sheepshead Bay,1424,26983.55,1931.25,0.0716,2
Lower East Side,879440,12317485.21,1152334.13,0.0936,2
Mapleton-Flatlands,3389,54464.28,3473.06,0.0638,2
Baychester,51,1067.63,25.8,0.0242,2
Upper East Side,4837449,57456207.55,4858086.21,0.0846,2
Union Port,500,7908.7,395.73,0.05,2
Central Park,508990,5995258.23,480576.12,0.0802,2
Woodside,30316,467022.81,26766.8,0.0573,2
Greenwich Village,1827519,22302424.64,2073836.62,0.093,2
Forest Hills,14949,312091.72,22534.12,0.0722,2
Middle Village,725,12315.88,735.86,0.0597,2
Downtown,95180,1604025.58,145694.34,0.0908,2
Morris Heights,669,9625.67,574.32,0.0597,2
Steinway,87,1160.08,105.25,0.0907,2
Utopia,3042,101018.23,8285.77,0.082,2
Boerum Hill,52970,822982.7,76555.81,0.093,2
Fort Green,93494,1489500.31,137508.19,0.0923,2
Brownsville,579,9925.5,621.46,0.0626,2
Bushwick,10391,162905.26,14832.72,0.0911,2
Clinton,1331625,17063987.1,1373979.72,0.0805,2
City Island,28,683.5,92.18,0.1349,2
Borough Park,5619,96749.81,8125.19,0.084,2
Gramercy,3105028,36196309.65,3454272.25,0.0954,2
Astoria-Long Island City,183943,2828914.34,206189.61,0.0729,2
Garment District,2183253,26454718.97,2100475.06,0.0794,2
Morningside Heights,225493,3203322.69,286152.1,0.0893,2
Flushing,5297,156428.12,12323,0.0788,2
East Harlem,118675,1571914.17,113017.95,0.0719,2
Mott Haven,7913,118620.81,6032.13,0.0509,2
Washington Heights,44787,897049.03,81589.79,0.091,2
