Neighborhood,trips number,revenue,tip amount,tip percentage,income
Midtown,25323201,303215398.5,27001686.22,0.0891,69273
Upper East Side,20831723,243217185.8,20768534.18,0.0854,77565
Upper West Side,12659756,150194940.7,13150464.68,0.0876,78066
Gramercy,12642546,147213914.8,14241639.77,0.0967,62467
Chelsea,10968796,131172528.4,12723630.78,0.097,61986
Garment District,8447555,101350829.5,8229521.57,0.0812,48705
Greenwich Village,7472114,90753117.33,8577452.87,0.0945,58313
East Village,5614601,71546755.08,6977067.26,0.0975,60891
Murray Hill,5285603,61648356.93,5690772.13,0.0923,66342
Clinton,5141769,63643220.98,5414227.29,0.0851,28070
West Village,4252958,53854106.29,5222319.11,0.097,66601
Soho,3652770,47368176.85,4553960.43,0.0961,58313
Lower East Side,3562072,49583381.26,4690558.16,0.0946,24022
Financial District,3183684,53899090.08,5094705.69,0.0945,101868
Tribeca,2781735,38964484.87,3887653.48,0.0998,38304
Central Park,2079058,24396726.34,2014769.57,0.0826,77565
Carnegie Hill,1797293,21023066.56,1729481.75,0.0823,70031
North Sutton Area,1694493,19636786.78,1663439.89,0.0847,80406
Little Italy,1461819,18874621.67,1823001.47,0.0966,69273
Battery Park,1299162,21458955.57,2197727.69,0.1024,101868
Yorkville,1220272,15475107.99,1217575.96,0.0787,77565
Morningside Heights,1074182,15218445.52,1404260.25,0.0923,23150
Williamsburg,759237,12188914.08,1200433.78,0.0985,33578
Astoria-Long Island City,699086,10695330.33,789881.03,0.0739,28872
Harlem,677765,9370260.88,778339.7,0.0831,23150
Chinatown,546467,7681029.2,592522.93,0.0771,38304
Sunny Side,492968,8509406.71,667246.2,0.0784,37962
East Harlem,472546,6162560.21,440413.58,0.0715,22232
Fort Green,380326,6051439.51,558283.01,0.0923,49567
Downtown,367791,6185295.07,569889.96,0.0921,24022
Hamilton Heights,279288,4432643.87,372671.16,0.0841,24285
Carroll Gardens,271617,4956954.6,521593.7,0.1052,45154
Boerum Hill,216086,3355380.89,313717.98,0.0935,49567
Washington Heights,184278,3626405.39,332054.58,0.0916,31348
Park Slope,184011,2893070.58,275275.76,0.0952,53313
Woodside,119656,1860667.1,110611.05,0.0594,37360
Cobble Hill,102101,1904065.42,204694.93,0.1075,56293
Jackson Heights,100836,1952416.37,130956.85,0.0671,39084
Bedford-Stuyvesant,67614,1040779.22,87425.66,0.084,25135
Forest Hills,57646,1168955.19,84071.38,0.0719,51350
Bushwick,41455,648478.33,59513.28,0.0918,22305
Jamaica,33980,1788950.98,152917.46,0.0855,40157
Mott Haven,31911,465972.64,24172.95,0.0519,19389
Borough Park,20261,362485.47,30814.79,0.085,26648
Flushing,19627,545784.68,43956.48,0.0805,37155
Greenwood,19518,354538.14,35720.46,0.1008,28395
Nkew Gardens,16743,402554.48,30666.23,0.0762,45344
Mapleton-Flatlands,14262,224142.54,15960.02,0.0712,31798
Maspeth,13085,433480.34,36940.69,0.0852,43107
Utopia,11792,378922.92,30880.98,0.0815,72424
High Bridge,11037,186674.03,11040.44,0.0591,20606
Inwood,9649,190594.41,15563.87,0.0817,29479
South Bronx,8432,121549.9,6473.77,0.0533,19389
Sunset Park,7651,138467.47,10082.85,0.0728,28395
Bay Ridge,6856,128938.61,10513.05,0.0815,44518
Corona,6072,243577.37,26157.1,0.1074,34746
Gravesend-Sheepshead Bay,5834,104751.73,7915.5,0.0756,32104
Ridgewood,5552,86351.61,6252.24,0.0724,36434
Parkchester,5389,79975.35,5880.08,0.0735,33735
Woodhaven-Richmond Hill,5006,103072.43,6795.37,0.0659,40924
Morris Heights,4741,67591.77,4618.51,0.0683,21109
Springfield Gardens,4411,209922.67,17559.95,0.0836,43133
East Brooklyn,3286,73306.42,5563.98,0.0759,20839
Tremont,2766,43511.47,2626.67,0.0604,19233
Canarsie,2667,51709.63,4330.45,0.0837,42370
Middle Village,2631,46265.54,2897.78,0.0626,49083
Bensonhurst,2401,43075.57,2874.05,0.0667,32104
Brownsville,2331,41119.63,2838.35,0.069,24163
Soundview,2321,36681.25,2363.87,0.0644,27733
Douglastown-Little Neck,2297,42894.52,3133.94,0.0731,61053
Kings Bridge,2171,37178.63,2238.6,0.0602,25754
Bedford Park,1992,37856.47,2621.51,0.0692,22072
Union Port,1986,32194.58,1933.75,0.0601,23565
University Heights,1942,31746.03,1915.56,0.0603,26852
Fordham,1809,30967.83,1892.12,0.0611,22072
Glendale,1756,32164.67,2250.7,0.07,36434
Queensboro Hill,1548,26890,1961.31,0.0729,36973
Riverdale,1531,31402.02,2523.29,0.0804,56488
Morris Park,1469,28717.21,1947.69,0.0678,33735
Hunts Point,1390,21431.63,1453.26,0.0678,16339
Dyker Heights,1350,26799.52,1951.21,0.0728,44932
Queens Village,987,17939.53,971.51,0.0542,51336
Throggs Neck,851,15762.94,1163.08,0.0738,45650
Laurelton,835,23628.03,1713.67,0.0725,56726
Wakefield-Williamsbridge,817,16370.44,834.03,0.0509,37141
Auburndale,787,15833.68,1021.05,0.0645,51242
Williams Bridge,781,14253.34,897.2,0.0629,29044
Spuyten Duyvil,769,17468.27,1542.48,0.0883,23567
Woodlawn-Nordwood,649,12250.38,880.55,0.0719,38464
Saintalbans,620,11653.18,823.66,0.0707,48536
Country Club,517,11457.77,745.95,0.0651,45650
The Rockaways,435,12010.48,929.06,0.0774,48604
Steinway,359,4831.45,461.56,0.0955,38674
Flatbush,318,5248.31,504.11,0.0961,29498
Clearview,283,6014.67,528.04,0.0878,54910
Baychester,172,3618.01,146.05,0.0404,42102
City Island,111,2336.06,243.25,0.1041,57458
Eastchester,2,16,1,0.0625,0
College Point,1,14.9,2.4,0.1611,48738
