ID, station, date, enter_00, exit00, enter_01, exit01, enter_02, exit02, enter_03, exit03, enter_04, exit04, enter_05, exit05, enter_06, exit06, enter_07, exit07, enter_08, exit08, enter_09, exit09, enter_010, exit010, enter_011, exit011, enter_012, exit012, enter_013, exit013, enter_014, exit014, enter_015, exit015, enter_016, exit016, enter_017, exit017, enter_018, exit018, enter_019, exit019, enter_020, exit020, enter_021, exit021, enter_022, exit022, enter_023, exit023,station_latitute,station_longitude
BMTACEL8THAV,8TH AV,5/1/11,1781.5,1285.25,0,0,0,0,0,0,0,0,721.25,198.75,721.25,198.75,721.25,198.75,721.25,198.75,224.5,351.5,224.5,351.5,224.5,351.5,224.5,351.5,780.5,1408,780.5,1408,780.5,1408,780.5,1408,1640.25,1724.75,1640.25,1724.75,1640.25,1724.75,1640.25,1724.75,1781.5,1285.25,1781.5,1285.25,1781.5,1285.25,40.739777,-74.002578
BMTACENQRS1237TIMESSQUARE-42NDST,TIMES SQUARE-42ND ST,5/1/11,0,0,0,0,0,0,0,0,194.5,208.75,194.5,208.75,194.5,208.75,194.5,208.75,62.75,141.5,62.75,141.5,62.75,141.5,62.75,141.5,291.5,901,291.5,901,291.5,901,291.5,901,493,1646,493,1646,493,1646,493,1646,716,1459.5,716,1459.5,716,1459.5,716,1459.5,40.754672,-73.986754
BMTACJZ2345FULTONST,FULTON ST,5/1/11,479.25,424.5,0,0,0,0,0,0,0,0,31.5,49.5,31.5,49.5,31.5,49.5,31.5,49.5,37.5,93.75,37.5,93.75,37.5,93.75,37.5,93.75,237,537,237,537,237,537,237,537,474.75,726,474.75,726,474.75,726,474.75,726,479.25,424.5,479.25,424.5,479.25,424.5,40.710374,-74.007582
BMTBDFMNQR34THST,34TH ST,5/1/11,0,0,0,0,0,0,0,0,877,417.25,877,417.25,877,417.25,877,417.25,316.5,442,316.5,442,316.5,442,316.5,442,1631.75,2970,1631.75,2970,1631.75,2970,1631.75,2970,3874.75,4630.5,3874.75,4630.5,3874.75,4630.5,3874.75,4630.5,5570,3993.75,5570,3993.75,5570,3993.75,5570,3993.75,40.749567,-73.98795
BMTBQ7THAV,7TH AV,5/1/11,323,340.5,0,0,0,0,0,0,0,0,23,67.75,23,67.75,23,67.75,23,67.75,57.5,40.25,57.5,40.25,57.5,40.25,57.5,40.25,293,212.75,293,212.75,293,212.75,293,212.75,417.5,320.5,417.5,320.5,417.5,320.5,417.5,320.5,323,340.5,323,340.5,323,340.5,40.67705,-73.972367
BMTBQAVH,AV H,5/1/11,0,0,0,0,0,0,0,0,1.75,39.5,1.75,39.5,1.75,39.5,1.75,39.5,1.25,6,1.25,6,1.25,6,1.25,6,49.25,30,49.25,30,49.25,30,49.25,30,35.75,50.75,35.75,50.75,35.75,50.75,35.75,50.75,32.25,90,32.25,90,32.25,90,32.25,90,40.62927,-73.961639
BMTBQAVJ,AV J,5/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.25,184.75,349.25,184.75,349.25,184.75,349.25,184.75,292,193.75,292,193.75,292,193.75,292,193.75,201.5,281,201.5,281,201.5,281,201.5,281,40.625039,-73.960803
BMTBQAVM,AV M,5/1/11,0,0,0,0,0,0,0,0,6.5,30.25,6.5,30.25,6.5,30.25,6.5,30.25,5.25,7.25,5.25,7.25,5.25,7.25,5.25,7.25,140.75,92,140.75,92,140.75,92,140.75,92,145.5,108.75,145.5,108.75,145.5,108.75,145.5,108.75,87.5,176.75,87.5,176.75,87.5,176.75,87.5,176.75,40.617618,-73.959399
BMTBQAVU,AV U,5/1/11,175.75,140.75,0,0,0,0,0,0,0,0,11.75,6,11.75,6,11.75,6,11.75,6,158.25,30.75,158.25,30.75,158.25,30.75,158.25,30.75,336.25,72.5,336.25,72.5,336.25,72.5,336.25,72.5,255.25,104.25,255.25,104.25,255.25,104.25,255.25,104.25,175.75,140.75,175.75,140.75,175.75,140.75,40.5993,-73.955929
BMTBQBEVERLYRD,BEVERLY RD,5/1/11,0,0,0,0,0,0,0,0,10.5,60,10.5,60,10.5,60,10.5,60,0,0,0,0,0,0,0,0,172.5,68.25,172.5,68.25,172.5,68.25,172.5,68.25,130,85.25,130,85.25,130,85.25,130,85.25,79.25,151.5,79.25,151.5,79.25,151.5,79.25,151.5,40.644031,-73.964492
