EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-5-1,69,58,47,43,36,24,71,49,27,30.48,30.43,30.35,10,10,10,16,5,26,0.00,0,,69
2013-5-2,72,61,49,44,40,36,80,54,27,30.46,30.40,30.33,10,10,10,9,4,14,0.00,0,,116
2013-5-3,66,58,49,43,39,33,80,57,34,30.46,30.41,30.38,10,10,10,17,7,27,0.00,1,,90
2013-5-4,69,59,48,44,41,37,86,61,35,30.37,30.30,30.26,10,10,9,16,6,22,0.00,0,,93
2013-5-5,64,55,46,43,39,35,76,56,36,30.32,30.27,30.23,10,10,10,14,6,19,0.00,2,,77
2013-5-6,69,58,46,51,46,42,86,69,52,30.30,30.22,30.16,10,10,7,12,4,16,0.00,5,,91
2013-5-7,74,63,52,57,52,46,83,68,53,30.19,30.14,30.09,10,10,8,10,6,14,0.00,3,,77
2013-5-8,63,59,55,60,57,51,97,88,78,30.12,30.06,29.98,10,4,0,12,6,17,3.02,7,Fog-Rain,73
2013-5-9,68,61,54,58,55,52,93,80,67,30.01,29.95,29.89,10,5,1,9,4,13,0.50,6,Rain,52
2013-5-10,79,69,59,55,54,53,80,61,42,30.00,29.95,29.89,10,9,6,10,4,20,0.01,0,,243
2013-5-11,70,66,61,63,61,56,100,89,78,29.92,29.80,29.70,9,4,0,10,3,18,1.09,6,Fog-Rain,233
2013-5-12,70,61,51,61,39,24,93,59,24,29.94,29.74,29.66,10,10,7,16,8,29,T,2,Rain,279
2013-5-13,58,52,45,32,27,23,58,44,29,30.11,30.02,29.95,10,10,10,15,7,25,0.00,2,,289
2013-5-14,61,52,42,33,26,18,70,45,19,30.13,30.09,30.03,10,10,10,10,4,17,0.00,0,,280
2013-5-15,69,62,54,57,45,28,73,56,38,30.06,29.89,29.71,10,10,8,22,10,28,0.00,5,,214
2013-5-16,79,71,62,56,50,41,78,55,32,29.83,29.76,29.72,10,10,9,13,4,23,0.00,1,,284
2013-5-17,72,65,58,41,39,34,51,40,29,30.20,30.05,29.85,10,10,10,17,4,26,0.00,0,,359
2013-5-18,65,61,56,54,48,39,80,62,43,30.31,30.28,30.20,10,10,9,9,2,16,0.01,5,,155
2013-5-19,59,57,55,57,55,48,100,84,67,30.35,30.28,30.18,10,3,1,12,5,18,0.60,8,Rain,143
2013-5-20,79,69,58,65,60,57,100,82,64,30.19,30.08,29.97,10,4,0,10,2,15,0.00,5,Fog,230
2013-5-21,86,77,68,68,65,64,84,70,55,29.97,29.91,29.84,10,8,4,13,5,22,0.00,0,,234
2013-5-22,78,69,59,68,63,56,90,79,68,29.96,29.90,29.85,10,5,2,16,3,24,0.00,5,,93
2013-5-23,80,72,64,70,66,63,100,84,67,29.91,29.85,29.77,10,5,0,12,5,22,1.81,7,Fog-Rain,179
2013-5-24,65,55,45,63,54,40,100,88,76,29.96,29.81,29.69,10,6,1,15,5,30,0.30,8,Rain,298
2013-5-25,54,50,45,44,41,37,92,76,59,30.00,29.93,29.90,10,9,2,17,9,34,0.14,8,Rain,307
2013-5-26,66,57,48,38,35,31,66,48,30,30.20,30.04,29.96,10,10,10,20,8,29,0.00,2,,302
2013-5-27,73,62,51,39,36,32,54,39,23,30.25,30.19,30.12,10,10,10,12,4,20,0.00,0,,264
2013-5-28,68,62,56,57,52,40,100,72,43,30.23,30.19,30.14,10,4,0,10,3,17,0.52,6,Fog-Rain,109
2013-5-29,82,70,58,66,61,57,100,79,58,30.16,30.09,30.00,10,4,0,10,2,16,0.00,4,Fog,86
2013-5-30,90,81,72,66,63,59,73,56,38,30.13,30.09,30.06,10,9,6,10,5,17,0.00,1,,252
2013-5-31,90,83,75,68,63,56,69,52,35,30.12,30.06,29.99,10,9,7,10,4,18,0.00,0,,257
