EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-12-1,49,43,36,32,29,26,76,61,46,30.35,30.19,30.02,10,10,10,7,2,10,0.00,6,,306
2013-12-2,49,45,41,37,34,27,82,68,53,30.01,29.95,29.89,10,8,6,8,3,11,0.00,4,,47
2013-12-3,53,46,38,37,34,32,86,66,46,30.01,29.93,29.88,10,7,5,8,3,12,0.00,1,,353
2013-12-4,52,47,41,42,36,32,73,64,54,30.16,30.10,30.02,7,6,4,8,3,12,0.00,4,,56
2013-12-5,60,54,48,54,50,43,93,83,72,30.12,30.06,29.94,9,4,0,9,2,17,0.01,8,Fog-Rain,116
2013-12-6,62,50,37,58,43,32,90,84,77,30.16,30.03,29.88,10,6,2,15,6,22,0.73,8,Rain,26
2013-12-7,41,37,32,33,26,14,89,65,40,30.51,30.29,30.10,10,9,3,13,6,22,0.14,4,Rain,334
2013-12-8,33,31,29,29,21,12,85,65,45,30.60,30.51,30.39,10,6,1,15,6,20,0.08,6,Rain-Snow,53
2013-12-9,39,35,31,36,32,28,92,86,79,30.39,30.12,29.97,10,4,1,22,7,31,0.30,7,Rain-Snow,31
2013-12-10,37,34,30,31,28,14,89,74,58,30.12,29.96,29.88,10,5,0,14,6,24,0.23,5,Fog-Snow,277
2013-12-11,33,30,27,16,13,12,55,48,41,30.32,30.24,30.15,10,10,10,15,8,25,0.00,0,,260
2013-12-12,30,27,23,14,6,3,57,47,37,30.36,30.26,30.16,10,10,10,16,7,26,0.00,1,,298
2013-12-13,35,29,23,15,10,3,47,43,38,30.33,30.19,30.14,10,10,10,18,6,28,0.00,2,,267
2013-12-14,34,28,22,31,21,15,88,66,43,30.51,30.28,29.81,10,3,0,21,10,31,0.73,7,Fog-Rain-Snow,68
2013-12-15,40,35,30,34,28,19,92,72,52,29.84,29.64,29.51,10,8,2,21,9,28,0.72,7,Rain,316
2013-12-16,33,29,25,20,10,5,56,46,35,30.23,30.07,29.84,10,10,10,17,8,26,0.00,1,,286
2013-12-17,32,28,24,28,21,6,85,64,42,30.22,30.06,29.94,10,4,0,13,6,17,0.19,8,Fog-Rain-Snow,75
2013-12-18,37,30,23,20,18,17,81,64,47,30.16,30.04,29.92,10,10,8,14,7,24,0.00,3,,296
2013-12-19,47,39,30,27,22,18,63,52,41,30.18,30.11,30.03,10,10,9,15,5,24,0.00,0,,255
2013-12-20,53,47,41,43,31,27,68,55,41,30.10,30.03,29.98,10,10,10,16,5,27,0.00,2,,254
2013-12-21,65,58,51,52,47,44,77,67,56,30.00,29.95,29.90,10,10,9,16,8,26,0.01,1,,244
2013-12-22,71,66,61,60,56,53,78,70,61,29.96,29.89,29.81,10,10,10,16,6,27,T,5,,215
2013-12-23,64,53,42,58,52,29,93,80,67,30.16,30.00,29.88,10,6,2,17,5,28,0.51,8,Rain,279
2013-12-24,42,34,26,27,19,5,72,56,40,30.34,30.18,30.09,10,10,10,18,8,29,T,3,,318
2013-12-25,31,25,19,19,7,3,53,46,38,30.52,30.47,30.35,10,10,10,21,5,35,0.00,1,,295
2013-12-26,36,33,30,24,20,17,64,58,51,30.44,30.29,30.17,10,10,10,14,5,23,T,5,,270
2013-12-27,40,36,31,22,19,15,61,51,40,30.36,30.31,30.27,10,10,10,12,6,20,0.00,2,,276
2013-12-28,55,46,36,26,23,20,52,41,29,30.27,30.16,30.07,10,10,10,16,7,27,0.00,1,,253
2013-12-29,48,45,41,41,36,24,93,66,39,30.06,29.69,29.43,10,6,1,16,6,26,1.20,6,Rain,36
2013-12-30,45,34,23,35,24,7,76,60,43,30.21,29.98,29.70,10,10,10,15,6,25,0.00,3,,289
2013-12-31,32,27,21,20,10,5,63,51,38,30.28,30.15,30.06,10,10,8,17,6,28,T,3,,292
