Astoria-Long Island City,Astoria-Long Island City	17560,139527.98,8444.98
Astoria-Long Island City,Auburndale	22,750.53,34.02
Astoria-Long Island City,Battery Park	77,2605.66,299.16
Astoria-Long Island City,Bay Ridge	47,2427.39,271.06
Astoria-Long Island City,Baychester	1,52.10,8.60
Astoria-Long Island City,Bedford Park	17,754.59,57.44
Astoria-Long Island City,Bedford-Stuyvesant	227,6787.81,594.75
Astoria-Long Island City,Bensonhurst	8,450.22,46.22
Astoria-Long Island City,Boerum Hill	33,1126.33,103.82
Astoria-Long Island City,Borough Park	24,1132.43,102.27
Astoria-Long Island City,Brownsville	10,389.25,17.25
Astoria-Long Island City,Bushwick	194,5327.55,441.02
Astoria-Long Island City,Canarsie	9,550.90,23.40
Astoria-Long Island City,Carnegie Hill	119,2597.78,243.28
Astoria-Long Island City,Carroll Gardens	53,2063.70,256.35
Astoria-Long Island City,Central Park	264,5410.51,436.22
Astoria-Long Island City,Chelsea	967,24029.21,2360.28
Astoria-Long Island City,Chinatown	40,1069.42,67.92
Astoria-Long Island City,City Island	1,48.83,0.00
Astoria-Long Island City,Clearview	16,586.19,41.69
Astoria-Long Island City,Clinton	533,11828.15,970.47
Astoria-Long Island City,Cobble Hill	13,416.87,42.87
Astoria-Long Island City,Corona	2,36.50,0.00
Astoria-Long Island City,Country Club	3,134.66,0.00
Astoria-Long Island City,Douglastown-Little Neck	15,757.36,114.03
Astoria-Long Island City,Downtown	74,2352.88,232.35
Astoria-Long Island City,Dyker Heights	7,335.09,22.26
Astoria-Long Island City,East Brooklyn	27,1092.02,89.02
Astoria-Long Island City,East Harlem	238,5097.01,316.44
Astoria-Long Island City,East Village	738,16179.18,1473.16
Astoria-Long Island City,Financial District	493,15859.56,1509.12
Astoria-Long Island City,Flushing	189,4465.39,217.06
Astoria-Long Island City,Fordham	16,647.94,69.64
Astoria-Long Island City,Forest Hills	367,9145.32,801.31
Astoria-Long Island City,Fort Green	233,7198.38,873.83
Astoria-Long Island City,Garment District	942,21318.29,1942.44
Astoria-Long Island City,Glendale	34,992.80,43.78
Astoria-Long Island City,Gramercy	1822,36717.09,3218.90
Astoria-Long Island City,Gravesend-Sheepshead Bay	16,938.55,42.05
Astoria-Long Island City,Greenwich Village	556,13426.68,1382.97
Astoria-Long Island City,Greenwood	22,916.27,95.77
Astoria-Long Island City,Hamilton Heights	151,4618.55,433.48
Astoria-Long Island City,Harlem	442,11347.30,891.26
Astoria-Long Island City,High Bridge	34,943.58,53.49
Astoria-Long Island City,Hunts Point	36,981.93,19.32
Astoria-Long Island City,Inwood	38,1398.83,84.04
Astoria-Long Island City,Jackson Heights	1981,25456.71,993.92
Astoria-Long Island City,Jamaica	99,3415.63,200.29
Astoria-Long Island City,Kings Bridge	19,715.06,24.82
Astoria-Long Island City,Laurelton	7,354.50,12.50
Astoria-Long Island City,Little Italy	67,1792.98,149.98
Astoria-Long Island City,Lower East Side	542,14252.54,1304.16
Astoria-Long Island City,Mapleton-Flatlands	25,1255.40,91.40
Astoria-Long Island City,Maspeth	252,4019.89,175.36
Astoria-Long Island City,Middle Village	111,2562.53,154.20
Astoria-Long Island City,Midtown	4593,82099.68,7409.30
Astoria-Long Island City,Morningside Heights	141,4406.46,499.18
Astoria-Long Island City,Morris Heights	17,541.27,20.81
Astoria-Long Island City,Morris Park	16,666.67,35.87
Astoria-Long Island City,Mott Haven	114,2727.23,123.45
Astoria-Long Island City,Murray Hill	829,15091.14,1344.21
Astoria-Long Island City,Nkew Gardens	186,5408.59,385.09
Astoria-Long Island City,North Sutton Area	553,7528.07,513.69
Astoria-Long Island City,Park Slope	148,5544.62,596.05
Astoria-Long Island City,Parkchester	26,895.43,26.00
Astoria-Long Island City,Queens Village	13,586.15,42.65
