dropoff neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,914326,15124696.48,1448602.65,0.0958
Williamsburg,342903,6208460.95,640195.69,0.1031
South Bronx,20123,516323.76,26375.24,0.0511
Ridgewood,21050,529455.93,40236.67,0.076
Clearview,1635,86879.67,8365.87,0.0963
Williams Bridge,2635,103506.01,6098.52,0.0589
Cobble Hill,35146,725072.58,86592.63,0.1194
Inwood,27209,839038.17,79218.72,0.0944
Harlem,366148,6040995.54,513090.39,0.0849
Auburndale,2268,100009.76,9000.09,0.09
Gramercy,2903763,31936935.19,3162663.39,0.099
Chelsea,2522371,28367248.3,2817937.47,0.0993
University Heights,5074,158250.74,8026.86,0.0507
Greenwood,24075,596098.65,65239.54,0.1094
Woodhaven-Richmond Hill,7599,283593.83,18602.8,0.0656
Park Slope,161580,3851238.97,447137.97,0.1161
Chinatown,118891,1589010.48,123368.31,0.0776
Corona,305,9548.86,778.89,0.0816
West Village,992327,11563388.23,1138759.1,0.0985
Sunny Side,196882,3457165.81,316360.86,0.0915
Soho,912754,11372160.46,1103469.66,0.097
Dyker Heights,5884,227335.19,21230.72,0.0934
Upper West Side,3216522,37535875.94,3465308.45,0.0923
Queens Village,1225,59721.31,4413.53,0.0739
Bay Ridge,29854,1151521.82,114977.43,0.0998
Wakefield-Williamsbridge,2999,131339.0,6593.0,0.0502
Jamaica,10229,451821.43,39438.88,0.0873
Bedford Park,8091,317939.51,22378.58,0.0704
East Village,1257592,14731608.61,1475220.75,0.1001
Hunts Point,2573,71124.71,3219.29,0.0453
Gravesend-Sheepshead Bay,16368,776788.81,62154.33,0.08
Lower East Side,818764,11174831.52,1043680.67,0.0934
Mapleton-Flatlands,21390,770257.59,64916.03,0.0843
Baychester,895,39673.48,2810.11,0.0708
Upper East Side,5042396,56808215.3,5088628.03,0.0896
Union Port,3391,113245.79,6319.39,0.0558
Central Park,532724,6135941.37,516401.56,0.0842
Woodside,52589,982605.67,62499.79,0.0636
Greenwich Village,1612120,17901214.11,1756313.92,0.0981
Forest Hills,46461,1527903.0,148865.27,0.0974
Middle Village,10332,299098.93,23494.63,0.0786
Downtown,97098,1794979.0,186269.27,0.1038
Morris Heights,5360,148452.34,6097.02,0.0411
Steinway,51,949.08,83.26,0.0877
Utopia,11937,461713.33,38653.36,0.0837
Boerum Hill,62057,1187442.16,133610.62,0.1125
Fort Green,260395,5252257.35,577029.81,0.1099
Brownsville,4838,162735.51,9940.33,0.0611
Bushwick,80253,1794329.12,168006.54,0.0936
Clinton,1256723,14932633.38,1312836.58,0.0879
City Island,244,13120.68,1392.94,0.1062
Borough Park,22049,707755.82,62896.18,0.0889
Jackson Heights,73269,1789964.38,119673.33,0.0669
Astoria-Long Island City,300181,5594508.55,498703.93,0.0891
Garment District,1991706,23375297.28,2029322.67,0.0868
Morningside Heights,304385,4270071.19,408073.8,0.0956
Flushing,16689,611110.51,49179.68,0.0805
East Harlem,216549,2900218.35,221884.67,0.0765
Mott Haven,26190,506583.81,25110.48,0.0496
Washington Heights,203013,5166076.01,479265.99,0.0928
Carroll Gardens,80612,1723000.61,201019.77,0.1167
Flatbush,259,5469.63,558.15,0.102
Laurelton,893,47379.57,3881.7,0.0819
Canarsie,4887,219365.36,14194.03,0.0647
Tribeca,654874,8857930.44,902102.05,0.1018
The Rockaways,1360,97785.08,8338.59,0.0853
High Bridge,15736,391327.89,21807.8,0.0557
Midtown,6263733,72618599.04,6429550.01,0.0885
Saintalbans,1428,70554.38,5381.31,0.0763
Queensboro Hill,4239,172420.47,13933.47,0.0808
Tremont,6749,210193.4,10422.36,0.0496
Bensonhurst,8155,348836.67,28599.81,0.082
Carnegie Hill,513952,5701659.55,486304.88,0.0853
Douglastown-Little Neck,2972,156551.18,13563.58,0.0866
Murray Hill,1311532,14735935.77,1374926.29,0.0933
East Brooklyn,5016,177214.01,9328.08,0.0526
Nkew Gardens,17763,639379.69,60269.76,0.0943
Springfield Gardens,2229,115690.56,6995.08,0.0605
Woodlawn-Nordwood,3395,140351.14,8026.83,0.0572
Hamilton Heights,131587,2432159.03,205290.55,0.0844
Parkchester,7456,275996.49,18078.25,0.0655
Bedford-Stuyvesant,133934,2922028.2,265914.49,0.091
Morris Park,5026,196565.59,15578.93,0.0793
Sunset Park,19520,564949.17,48477.68,0.0858
Country Club,1769,81528.19,5543.86,0.068
Maspeth,15703,347458.36,18573.12,0.0535
Throggs Neck,2759,111562.82,8288.64,0.0743
North Sutton Area,320665,3589540.82,306230.73,0.0853
Soundview,6200,194925.13,8815.2,0.0452
Glendale,4267,132629.81,9191.58,0.0693
Little Italy,271464,3516156.58,341420.81,0.0971
Riverdale,11676,464399.52,47525.67,0.1023
Fordham,6393,225629.53,15289.61,0.0678
Eastchester,2,16.0,1.0,0.0625
Yorkville,370394,4535136.5,374389.93,0.0826
Kings Bridge,7574,268942.2,21610.79,0.0804
Spuyten Duyvil,7444,273489.1,28937.72,0.1058
Battery Park,352142,5859732.08,612990.66,0.1046
