pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,825035,14107293.1,1356865.65,0.0962
Williamsburg,222858,3646912.07,368059.33,0.1009
West Village,1101121,14151374.26,1388162.08,0.0981
Ridgewood,1799,29169.92,2219.72,0.0761
Jackson Heights,26239,507262.29,35602.13,0.0702
Williams Bridge,169,3299.68,235.72,0.0714
Cobble Hill,26230,503518.55,55581.25,0.1104
Inwood,2423,46988.98,3920.7,0.0834
Harlem,170588,2384140.46,207049.22,0.0868
Auburndale,193,3544.57,164.94,0.0465
Gramercy,3170430,37675332.12,3727910.47,0.0989
Chelsea,2802109,34206830.17,3380016.68,0.0988
University Heights,440,7423.78,556.5,0.075
Greenwood,5182,95289.67,10459.19,0.1098
Wakefield-Williamsbridge,160,3247.82,102.6,0.0316
Park Slope,51585,832917.67,83228.41,0.0999
Chinatown,138039,1960004.63,155644.49,0.0794
Corona,1426,58551.69,6525.16,0.1114
South Bronx,1834,26687.01,1568.11,0.0588
Sunny Side,127182,2228127.6,184385.27,0.0828
Soho,927640,12215024.14,1188749.32,0.0973
Clearview,55,1306.0,110.6,0.0847
Dyker Heights,306,6507.24,463.83,0.0713
Upper West Side,3280449,39462262.17,3552545.37,0.09
Queens Village,247,4495.98,255.38,0.0568
Bay Ridge,1716,34086.12,2959.04,0.0868
Woodhaven-Richmond Hill,1337,28698.58,1820.48,0.0634
Jamaica,9105,476709.78,41387.02,0.0868
Bedford Park,526,11564.24,904.03,0.0782
East Village,1434543,18597236.4,1848721.32,0.0994
Hunts Point,219,3432.43,235.96,0.0687
Gravesend-Sheepshead Bay,1149,21908.23,1792.73,0.0818
Lower East Side,919634,13065921.46,1260918.56,0.0965
Mapleton-Flatlands,3289,54787.3,4084.12,0.0745
Baychester,34,744.53,37.04,0.0497
Upper East Side,5354662,63458782.8,5572530.21,0.0878
Union Port,467,7811.1,508.76,0.0651
Central Park,541953,6483861.94,555417.14,0.0857
Woodside,28019,441282.16,26802.09,0.0607
Greenwich Village,1909164,23611190.35,2275499.96,0.0964
Forest Hills,12837,271851.97,21070.2,0.0775
Middle Village,707,12452.06,712.81,0.0572
Downtown,95428,1623880.46,153924.3,0.0948
Morris Heights,652,10546.42,631.11,0.0598
Steinway,37,608.02,68.52,0.1127
Utopia,3245,99518.4,7992.4,0.0803
Boerum Hill,56306,890498.54,86031.55,0.0966
Fort Green,108652,1765517.85,170892.35,0.0968
Brownsville,508,9050.08,712.71,0.0788
Bushwick,14412,231899.35,22501.76,0.097
Clinton,1289927,16073422.08,1415817.88,0.0881
City Island,14,508.22,61.06,0.1201
Borough Park,4158,83933.9,7468.54,0.089
Parkchester,664,11239.39,702.23,0.0625
Astoria-Long Island City,166386,2590134.45,197652.86,0.0763
Garment District,2084086,25543582.68,2132318.76,0.0835
Morningside Heights,267978,3849948.98,369998.05,0.0961
Flushing,5909,168575.0,14128.63,0.0838
East Harlem,113586,1494863.73,112550.12,0.0753
Mott Haven,7339,110810.28,6038.77,0.0545
Washington Heights,45034,893608.96,84809.32,0.0949
Carroll Gardens,72338,1346023.64,144968.38,0.1077
Flatbush,79,1319.0,137.01,0.1039
Laurelton,200,5206.43,362.21,0.0696
Canarsie,496,10299.02,964.59,0.0937
Tribeca,723162,10239350.3,1045392.04,0.1021
The Rockaways,112,3369.54,360.91,0.1071
High Bridge,2409,41879.06,2633.34,0.0629
Midtown,6290634,77583141.56,7061708.45,0.091
Saintalbans,141,2850.08,236.44,0.083
Queensboro Hill,370,5986.24,382.55,0.0639
Tremont,455,7656.6,432.08,0.0564
Bensonhurst,521,9672.31,689.6,0.0713
Carnegie Hill,485876,5789846.52,494778.64,0.0855
Douglastown-Little Neck,476,10369.65,667.73,0.0644
Murray Hill,1298634,15441723.86,1454285.21,0.0942
East Brooklyn,699,15379.48,1220.35,0.0793
Nkew Gardens,4455,106599.16,8659.11,0.0812
Springfield Gardens,841,38219.15,3160.63,0.0827
Woodlawn-Nordwood,176,3035.64,373.04,0.1229
Hamilton Heights,68259,1094712.67,96653.89,0.0883
Bedford-Stuyvesant,20083,315267.44,28614.13,0.0908
Morris Park,325,6394.36,554.59,0.0867
Sunset Park,2122,40461.72,3079.64,0.0761
Country Club,94,1976.73,206.25,0.1043
Maspeth,3159,104252.94,9283.32,0.089
Throggs Neck,204,4080.68,296.57,0.0727
North Sutton Area,428670,5036727.9,435223.28,0.0864
Soundview,513,7954.56,518.94,0.0652
Glendale,461,8113.36,605.31,0.0746
Little Italy,374046,4901659.32,476993.43,0.0973
Riverdale,396,8530.28,853.93,0.1001
Fordham,436,8131.09,524.62,0.0645
Eastchester,2,16.0,1.0,0.0625
Yorkville,301319,3880078.84,315459.74,0.0813
Kings Bridge,555,9904.25,702.92,0.071
Spuyten Duyvil,167,3616.51,269.06,0.0744
Battery Park,329903,5464043.17,567031.47,0.1038
