dropoff neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,3577865,58566772.01,5508407.82,0.0941
Williamsburg,1296373,23341265.91,2356528.24,0.101
South Bronx,88340,2252188.99,106091.61,0.0471
Ridgewood,73688,1868421.21,134038.7,0.0717
Clearview,6493,337209.38,31448.13,0.0933
Williams Bridge,11646,455382.2,25805.92,0.0567
Cobble Hill,142961,2921012.72,339093.06,0.1161
Inwood,111016,3407859.81,311804.44,0.0915
Queens Village,5316,258721.01,18871.75,0.0729
Auburndale,9834,427150.46,37849.27,0.0886
Gramercy,12011971,129704659.87,12539291.28,0.0967
Chelsea,10232763,112702274.75,10961210.36,0.0973
University Heights,22905,716062.48,34015.53,0.0475
Greenwood,95457,2373466.53,251176.06,0.1058
Woodhaven-Richmond Hill,31566,1174319.19,76467.65,0.0651
Park Slope,636669,15101560.1,1706860.71,0.113
Chinatown,505919,6692441.0,505693.91,0.0756
Corona,1291,39767.81,3513.14,0.0883
West Village,3968035,45625291.52,4418849.42,0.0969
Sunny Side,786503,13601507.64,1184883.71,0.0871
Soho,3686431,45172911.84,4312965.13,0.0955
Dyker Heights,23663,908523.62,82311.86,0.0906
Upper West Side,12917514,148983036.76,13335219.86,0.0895
Harlem,1499730,24353607.13,1968460.81,0.0808
Bay Ridge,121457,4675023.62,450006.82,0.0963
Wakefield-Williamsbridge,13679,594625.42,28674.37,0.0482
Jamaica,41550,1844924.38,155542.89,0.0843
Bedford Park,33083,1285081.53,86443.93,0.0673
East Village,5156032,59290286.85,5813300.05,0.098
Hunts Point,11985,321479.8,14724.27,0.0458
Gravesend-Sheepshead Bay,67934,3204178.1,252893.2,0.0789
Lower East Side,3366163,45171122.96,4107265.18,0.0909
Mapleton-Flatlands,90328,3211465.35,259408.94,0.0808
Baychester,4057,177473.49,11888.01,0.067
Upper East Side,20390967,225775076.53,19728169.3,0.0874
Union Port,14516,483854.23,25977.73,0.0537
Central Park,2222194,25191318.4,2051931.08,0.0815
Woodside,222431,4089659.9,249980.61,0.0611
Greenwich Village,6558725,71558308.72,6871552.87,0.096
Forest Hills,195947,6319971.07,593114.58,0.0938
Middle Village,42208,1206869.94,90860.37,0.0753
Downtown,396996,7324568.79,741628.58,0.1013
Morris Heights,24996,661549.26,27930.49,0.0422
Steinway,413,6102.72,553.77,0.0907
Utopia,48251,1870826.47,154968.27,0.0828
Boerum Hill,248559,4706517.59,514659.23,0.1094
Fort Green,1015132,20423219.02,2192224.34,0.1073
Brownsville,20748,700350.9,40504.35,0.0578
Bushwick,278600,6293166.7,563681.33,0.0896
Clinton,5277200,60992584.33,5218723.53,0.0856
City Island,1075,55338.22,5682.94,0.1027
Borough Park,93830,2928242.89,252085.84,0.0861
Jackson Heights,299753,7234255.24,459110.21,0.0635
Astoria-Long Island City,1277893,23227581.55,1999364.0,0.0861
Garment District,8497949,96577697.01,8130105.38,0.0842
Morningside Heights,1183451,16440189.23,1515206.14,0.0922
Flushing,63855,2292339.54,177429.5,0.0774
East Harlem,896801,11878647.88,861239.75,0.0725
Mott Haven,112410,2132825.14,98079.9,0.046
Washington Heights,820049,20676389.19,1851024.9,0.0895
Carroll Gardens,311888,6646384.67,758604.22,0.1141
Flatbush,989,21602.37,2100.03,0.0972
Laurelton,3623,192247.68,14605.31,0.076
Canarsie,21196,931207.59,60136.05,0.0646
Tribeca,2633311,35060970.22,3483924.9,0.0994
The Rockaways,5457,384413.84,29797.8,0.0775
High Bridge,72002,1771987.88,97424.7,0.055
Midtown,26093859,293610887.19,25264056.08,0.086
Saintalbans,5753,277915.56,19246.06,0.0693
Queensboro Hill,17627,708196.74,55855.34,0.0789
Tremont,29965,916039.61,41180.66,0.045
Bensonhurst,32970,1408650.45,113930.65,0.0809
Carnegie Hill,1953325,21381533.1,1766541.91,0.0826
Douglastown-Little Neck,12321,623515.57,54100.32,0.0868
Murray Hill,5581656,61178020.99,5558972.55,0.0909
East Brooklyn,22061,797829.45,42470.61,0.0532
Nkew Gardens,74110,2643346.18,241306.34,0.0913
Springfield Gardens,8815,450626.72,26693.7,0.0592
Woodlawn-Nordwood,13819,567740.2,30174.78,0.0531
Hamilton Heights,542911,9834417.11,791000.32,0.0804
Parkchester,35289,1230254.86,77896.65,0.0633
Bedford-Stuyvesant,511688,11194229.93,973469.57,0.087
Morris Park,21277,823646.75,62607.89,0.076
Sunset Park,77945,2279911.89,184920.72,0.0811
Country Club,8016,366766.87,24345.5,0.0664
Maspeth,63248,1393765.67,76044.53,0.0546
Throggs Neck,11811,471313.53,34276.54,0.0727
North Sutton Area,1312970,14383364.28,1198889.21,0.0834
Soundview,27868,1549415.15,35925.7,0.0232
Glendale,16884,523021.7,35419.23,0.0677
Little Italy,1095807,13920890.51,1331428.63,0.0956
Riverdale,46531,1842066.59,183348.75,0.0995
Fordham,26071,912001.94,57442.81,0.063
Eastchester,2,16.0,1.0,0.0625
Yorkville,1500890,18159161.81,1441703.66,0.0794
Kings Bridge,31696,1116672.58,87080.18,0.078
Spuyten Duyvil,30912,1130889.39,114929.33,0.1016
Battery Park,1452196,23878266.37,2422544.6,0.1015
