pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,3305836,55876636.23,5246392.37,0.0939
Williamsburg,786686,12614299.37,1240715.14,0.0984
West Village,4405294,55750081.83,5392179.26,0.0967
Ridgewood,5896,91546.03,6567.54,0.0717
Jackson Heights,106727,2049289.91,135963.54,0.0663
Williams Bridge,867,15574.27,991.47,0.0637
Cobble Hill,105842,1971948.08,211681.21,0.1073
Inwood,10226,200458.92,16274.5,0.0812
Queens Village,1029,18936.01,1025.86,0.0542
Auburndale,820,16448.84,1037.55,0.0631
Gramercy,13116099,152624255.92,14720577.82,0.0964
Chelsea,11353650,135686865.38,13115230.89,0.0967
University Heights,2102,34590.37,2028.08,0.0586
Greenwood,20302,368641.11,37002.82,0.1004
Wakefield-Williamsbridge,855,17031.24,845.33,0.0496
Park Slope,192056,3020274.08,287589.66,0.0952
Chinatown,573537,8059877.6,618250.41,0.0767
Corona,6286,251362.51,26869.95,0.1069
South Bronx,9017,129770.94,6911.49,0.0533
Sunny Side,512933,8840862.2,691921.56,0.0783
Soho,3781180,48987365.17,4684651.59,0.0956
Clearview,289,6140.9,541.94,0.0883
Dyker Heights,1458,28708.35,2125.38,0.074
Upper West Side,13197050,156453447.61,13669882.61,0.0874
Harlem,707952,9764821.14,807227.86,0.0827
Bay Ridge,7225,135644.52,11032.69,0.0813
Woodhaven-Richmond Hill,5306,108258.78,7064.97,0.0653
Jamaica,35207,1849454.34,157486.19,0.0852
Bedford Park,2126,40141.61,2682.16,0.0668
East Village,5851185,74505659.41,7250785.77,0.0973
Hunts Point,1472,22614.45,1512.08,0.0669
Gravesend-Sheepshead Bay,6075,109946.65,8191.84,0.0745
Lower East Side,3703931,51508800.46,4861034.26,0.0944
Mapleton-Flatlands,14913,235262.56,16722.47,0.0711
Baychester,185,4016.31,232.52,0.0579
Upper East Side,21652606,252697195.79,21553571.35,0.0853
Union Port,2086,33723.22,1987.4,0.0589
Central Park,2162711,25381069.76,2087812.09,0.0823
Woodside,125072,1940813.05,114806.21,0.0592
Greenwich Village,7758513,94172986.64,8873994.29,0.0942
Forest Hills,60076,1219102.37,87724.31,0.072
Middle Village,2794,49101.55,3083.33,0.0628
Downtown,380895,6394462.85,587394.11,0.0919
Morris Heights,4934,70308.33,4692.59,0.0667
Steinway,360,4846.95,463.56,0.0956
Utopia,12310,393778.65,31786.49,0.0807
Boerum Hill,224258,3477896.16,324870.32,0.0934
Fort Green,397302,6315859.27,582280.57,0.0922
Brownsville,2475,44024.72,3098.7,0.0704
Bushwick,43687,683065.94,62684.59,0.0918
Clinton,5345322,66122418.41,5602271.58,0.0847
City Island,114,2505.56,268.25,0.1071
Borough Park,20962,375406.38,31798.36,0.0847
Parkchester,5588,83442.25,6086.97,0.0729
Astoria-Long Island City,731505,11177110.31,823828.85,0.0737
Garment District,8818662,105870820.01,8539309.16,0.0807
Morningside Heights,1102923,15614209.35,1438148.55,0.0921
Flushing,21134,576920.23,46248.26,0.0802
East Harlem,493665,6423182.32,455987.37,0.071
College Point,1,14.9,2.4,0.1611
Mott Haven,33677,491456.96,25237.33,0.0514
Washington Heights,192309,3766957.1,343195.12,0.0911
Carroll Gardens,281009,5119759.28,538213.41,0.1051
Flatbush,328,5352.44,511.41,0.0955
Laurelton,867,24628.28,1769.11,0.0718
Canarsie,2780,54036.75,4526.91,0.0838
Tribeca,2872909,40189534.93,3997057.11,0.0995
The Rockaways,455,12634.54,984.54,0.0779
High Bridge,11610,195258.19,11350.9,0.0581
Midtown,26300342,314711156.78,27813301.74,0.0884
Saintalbans,659,12548.66,900.65,0.0718
Queensboro Hill,1612,27837.33,2016.82,0.0725
Tremont,2919,45447.77,2689.81,0.0592
Bensonhurst,2552,46427.83,3304.0,0.0712
Carnegie Hill,1861684,21767789.85,1788743.3,0.0822
Douglastown-Little Neck,2381,44459.63,3243.57,0.073
Murray Hill,5479413,63855060.65,5866009.21,0.0919
East Brooklyn,3454,77030.43,5832.69,0.0757
Nkew Gardens,17384,417811.67,31731.04,0.0759
Springfield Gardens,4526,215769.46,18067.92,0.0837
Woodlawn-Nordwood,678,12763.78,909.95,0.0713
Hamilton Heights,290978,4606727.8,385607.32,0.0837
Bedford-Stuyvesant,71755,1105727.89,93355.79,0.0844
Morris Park,1551,30369.42,2040.92,0.0672
Sunset Park,8086,146200.63,10762.5,0.0736
Country Club,549,12188.04,771.89,0.0633
Maspeth,13728,449443.64,38175.48,0.0849
Throggs Neck,884,16467.44,1193.43,0.0725
North Sutton Area,1760440,20386024.94,1725160.91,0.0846
Soundview,2475,39010.45,2443.41,0.0626
Glendale,1843,33679.31,2357.05,0.07
Little Italy,1518998,19608865.74,1885511.21,0.0962
Riverdale,1577,32352.41,2582.74,0.0798
Fordham,1929,32926.78,2004.47,0.0609
Eastchester,2,16.0,1.0,0.0625
Yorkville,1267501,16058379.4,1261000.26,0.0785
Kings Bridge,2331,40296.41,2502.02,0.0621
Spuyten Duyvil,816,18281.32,1621.85,0.0887
Battery Park,1343365,22157736.84,2259072.62,0.102
