dropoff neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,905698,14829505.25,1400262.41,0.0944
Williamsburg,336225,6069201.76,605195.51,0.0997
South Bronx,24142,616716.26,28837.87,0.0468
Ridgewood,17767,451971.79,31814.55,0.0704
Jackson Heights,77585,1885008.87,119074.59,0.0632
Williams Bridge,3205,125242.21,7024.42,0.0561
Cobble Hill,38153,780869.43,89810.3,0.115
Inwood,30293,926008.71,84551.41,0.0913
Harlem,401040,6469943.84,509400.44,0.0787
Auburndale,2696,116542.82,10243.91,0.0879
Gramercy,3175761,34195798.72,3263914.05,0.0954
Chelsea,2704607,29827682.86,2865248.7,0.0961
University Heights,6403,198723.52,9255.2,0.0466
Greenwood,24978,627648.99,64594.96,0.1029
Woodhaven-Richmond Hill,8255,307552.95,19668.34,0.064
Park Slope,167208,3987183.25,445520.13,0.1117
Chinatown,129176,1713221.86,127131.53,0.0742
Corona,359,11048.16,1180.78,0.1069
West Village,1044994,12015887.83,1148879.96,0.0956
Sunny Side,201332,3442016.71,295212.72,0.0858
Soho,973878,11951016.45,1132796.58,0.0948
Clearview,1615,82589.59,7558.35,0.0915
Dyker Heights,6228,239600.85,21736.79,0.0907
Upper West Side,3431609,39386044.97,3473243.96,0.0882
Queens Village,1380,68822.09,5143.71,0.0747
Bay Ridge,31968,1237663.19,117301.96,0.0948
Wakefield-Williamsbridge,3790,165586.7,8192.03,0.0495
Jamaica,10943,494918.55,41664.44,0.0842
Bedford Park,8680,336864.39,22149.84,0.0658
East Village,1356076,15543682.03,1501504.64,0.0966
Hunts Point,3374,90899.89,4283.06,0.0471
Gravesend-Sheepshead Bay,17856,847644.63,66049.37,0.0779
Lower East Side,890593,11956161.92,1072122.19,0.0897
Mapleton-Flatlands,24045,861832.32,69440.56,0.0806
Baychester,1093,47639.47,3042.05,0.0639
Upper East Side,5434400,59887168.59,5144460.93,0.0859
Union Port,3921,131527.5,7098.4,0.054
Central Park,603180,6836781.26,552212.54,0.0808
Woodside,57508,1056862.39,63866.58,0.0604
Greenwich Village,1762455,19216877.66,1827180.68,0.0951
Forest Hills,51270,1650332.03,152826.14,0.0926
Middle Village,10903,312584.09,23117.52,0.074
Downtown,106045,1967199.85,196530.42,0.0999
Morris Heights,6573,180028.76,7891.74,0.0438
Steinway,153,1973.42,189.93,0.0962
Utopia,12639,491956.86,40414.52,0.0822
Boerum Hill,66306,1258504.53,134920.04,0.1072
Fort Green,267019,5402385.87,572329.04,0.1059
Brownsville,5643,188913.91,10390.22,0.055
Bushwick,66979,1523996.75,131705.34,0.0864
Clinton,1367625,15749266.65,1335782.57,0.0848
City Island,305,13889.98,1191.43,0.0858
Borough Park,24449,763407.16,66034.03,0.0865
Parkchester,9427,333868.08,21024.75,0.063
Astoria-Long Island City,337195,6078462.22,514286.08,0.0846
Garment District,2202710,24780228.66,2070527.65,0.0836
Morningside Heights,341996,4714894.83,428792.92,0.0909
Flushing,16397,593610.25,45115.98,0.076
East Harlem,239083,3150369.81,222453.77,0.0706
Mott Haven,30738,576491.1,26608.49,0.0462
Washington Heights,221031,5538583.3,490525.02,0.0886
Carroll Gardens,80649,1731477.36,195975.56,0.1132
Flatbush,267,5930.67,558.8,0.0942
Laurelton,897,47094.41,3371.42,0.0716
Canarsie,5803,252584.19,16754.69,0.0663
Tribeca,702963,9377446.56,917509.38,0.0978
The Rockaways,1406,95397.29,6496.12,0.0681
High Bridge,19818,486738.53,27501.78,0.0565
Midtown,6844215,76635270.93,6544436.48,0.0854
Saintalbans,1534,73166.96,4796.65,0.0656
Queensboro Hill,4480,182132.07,14298.26,0.0785
Tremont,8247,251368.06,10849.86,0.0432
Bensonhurst,8345,355162.19,28311.44,0.0797
Carnegie Hill,527381,5736524.05,464108.99,0.0809
Douglastown-Little Neck,3251,160051.88,14255.24,0.0891
Murray Hill,1488644,16196987.51,1456675.22,0.0899
East Brooklyn,5927,215874.68,11130.5,0.0516
Nkew Gardens,20181,717353.43,65174.69,0.0909
Springfield Gardens,2122,110885.7,6631.98,0.0598
Woodlawn-Nordwood,3698,151264.8,7853.07,0.0519
Hamilton Heights,147371,2631237.51,206718.62,0.0786
Bedford-Stuyvesant,129168,2843745.17,240337.77,0.0845
Morris Park,5701,220089.9,16538.34,0.0751
Sunset Park,20133,597093.07,47341.16,0.0793
Country Club,2208,101985.86,6814.23,0.0668
Maspeth,16130,358839.09,20311.16,0.0566
Throggs Neck,3119,125215.18,8951.04,0.0715
North Sutton Area,343594,3744278.76,306109.55,0.0818
Soundview,7506,230439.67,9520.91,0.0413
Glendale,4333,134972.15,8534.69,0.0632
Little Italy,285630,3630282.01,345191.36,0.0951
Riverdale,12533,491968.78,47639.25,0.0968
Fordham,7080,250298.93,15857.14,0.0634
Yorkville,398160,4792709.93,371265.05,0.0775
Kings Bridge,8687,304321.86,23467.89,0.0771
Spuyten Duyvil,8232,299522.62,29814.58,0.0995
Battery Park,384013,6331030.47,636379.94,0.1005
