dropoff neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,702034,11428627.23,1115146.27,0.0976
Williamsburg,266397,4754044.68,483938.77,0.1018
West Village,829546,9352852.89,928484.73,0.0993
Ridgewood,14023,358259.73,25126.83,0.0701
Upper West Side,2892802,32605420.95,2924398.15,0.0897
Williams Bridge,2472,95241.63,5634.29,0.0592
Cobble Hill,32689,657410.13,75844.95,0.1154
Inwood,22384,682313.06,63499.72,0.0931
Harlem,316105,5064926.66,411190.9,0.0812
Auburndale,2078,90862.93,8391.87,0.0924
Jackson Heights,59980,1430179.48,91401.6,0.0639
Chelsea,2218581,23857038.64,2356296.39,0.0988
University Heights,4874,146838.96,7284.68,0.0496
Greenwood,19364,486644.15,52216.38,0.1073
Wakefield-Williamsbridge,2853,122238.29,6127.12,0.0501
Park Slope,136618,3223860.03,363858.12,0.1129
Chinatown,105819,1370879.4,108472.03,0.0791
Corona,324,8785.8,746.44,0.085
South Bronx,18384,461320.18,21315.54,0.0462
Sunny Side,172025,2910101.11,256552.18,0.0882
Soho,790801,9470656.58,929931.62,0.0982
Dyker Heights,5040,191391.77,17626.72,0.0921
Clearview,1419,73369.92,7160.89,0.0976
Queens Village,1146,54320.34,4348.19,0.08
Bay Ridge,25318,978561.16,94589.34,0.0967
Woodhaven-Richmond Hill,6412,238218.87,16056.73,0.0674
Jamaica,8469,378022.81,33033.59,0.0874
Bedford Park,6861,260497.03,17325.5,0.0665
East Village,1126927,12758819.39,1259466.09,0.0987
Hunts Point,2685,70145.58,3167.13,0.0452
Gravesend-Sheepshead Bay,14554,674772.52,55403.93,0.0821
Lower East Side,722082,9536220.01,881974.74,0.0925
Mapleton-Flatlands,19842,689694.72,56223.28,0.0815
Baychester,861,37485.21,2736.48,0.073
Upper East Side,4623948,50217268.6,4384569.65,0.0873
Union Port,2999,98083.36,5408.39,0.0551
Central Park,517535,5762786.47,478847.73,0.0831
Gramercy,2660067,28300560.3,2773256.23,0.098
Woodside,48925,897134.39,55079.11,0.0614
Greenwich Village,1438751,15435113.96,1508349.16,0.0977
Forest Hills,42221,1333580.66,127016.05,0.0952
Middle Village,8930,252578.37,19126.07,0.0757
Downtown,85477,1558393.49,161323.69,0.1035
Morris Heights,6539,154818.43,7388.21,0.0477
Steinway,99,1381.18,128.19,0.0928
Utopia,9931,383545.3,32907.4,0.0858
Boerum Hill,54237,1007689.62,110715.82,0.1099
Fort Green,214870,4294573.16,463740.77,0.108
Brownsville,4291,148132.26,8974.75,0.0606
Bushwick,52470,1189278.24,105584.87,0.0888
Clinton,1120781,12494864.34,1106100.29,0.0885
City Island,196,10662.72,1291.21,0.1211
Borough Park,20491,629153.65,54094.19,0.086
Parkchester,8882,278456.07,18775.84,0.0674
Astoria-Long Island City,277020,4949547.65,426673.66,0.0862
Garment District,1809935,19791442.56,1680346.8,0.0849
Morningside Heights,255271,3474008.66,321166.31,0.0924
Flushing,10731,356766.49,26642.25,0.0747
East Harlem,186157,2442547.57,174980.32,0.0716
Mott Haven,23532,437783.68,19537.3,0.0446
Washington Heights,172028,4308796.36,385619.55,0.0895
Carroll Gardens,67961,1430797.99,163833.44,0.1145
Flatbush,202,4103.37,399.71,0.0974
Laurelton,782,40390.01,3158.79,0.0782
Canarsie,4309,188610.16,12946.86,0.0686
Tribeca,585090,7613868.35,767486.08,0.1008
The Rockaways,1033,73979.12,6237.46,0.0843
High Bridge,12593,298041.76,14823.95,0.0497
Midtown,5691838,62472469.67,5486038.36,0.0878
Saintalbans,1120,54725.36,3669.92,0.0671
Queensboro Hill,3769,148625.35,12241.32,0.0824
Tremont,6265,186965.58,8751.03,0.0468
Bensonhurst,7003,299442.2,25091.5,0.0838
Carnegie Hill,454287,4863285.97,400126.86,0.0823
Douglastown-Little Neck,2582,129310.17,11260.99,0.0871
Murray Hill,1223675,13120550.87,1203501.02,0.0917
East Brooklyn,4447,161985.35,9228.45,0.057
Nkew Gardens,15538,548146.99,50661.12,0.0924
Springfield Gardens,1675,81360.57,5106.56,0.0628
Woodlawn-Nordwood,2883,118513.96,6278.25,0.053
Hamilton Heights,112830,2020386.0,161892.47,0.0801
Bedford-Stuyvesant,102380,2237212.22,193807.49,0.0866
Morris Park,4382,169301.92,12775.5,0.0755
Sunset Park,15552,463042.81,38043.0,0.0822
Country Club,1755,78693.25,5486.08,0.0697
Maspeth,13129,287285.47,16231.91,0.0565
Throggs Neck,2538,99579.64,7566.83,0.076
North Sutton Area,295155,3195356.77,267496.02,0.0837
Soundview,5827,177197.94,7002.26,0.0395
Glendale,3411,104988.41,7616.01,0.0725
Little Italy,229256,2829263.57,278920.24,0.0986
Riverdale,10029,395309.24,39789.29,0.1007
Fordham,5321,181373.34,10940.76,0.0603
Yorkville,323782,3868252.95,305909.61,0.0791
Kings Bridge,6421,226738.56,17551.75,0.0774
Spuyten Duyvil,6811,246705.34,24959.25,0.1012
Battery Park,312139,5096775.18,525075.73,0.103
