pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,651915,10908811.4,1069290.99,0.098
Williamsburg,147088,2291288.56,224486.98,0.098
West Village,928776,11493335.33,1135066.24,0.0988
Ridgewood,1022,14737.67,1022.91,0.0694
Jackson Heights,21465,409269.42,27575.35,0.0674
Williams Bridge,200,3503.24,231.51,0.0661
Cobble Hill,22948,418203.48,44594.49,0.1066
Inwood,2018,36508.88,2784.14,0.0763
Queens Village,227,3523.74,195.8,0.0556
Auburndale,169,3732.41,258.0,0.0691
Gramercy,2882998,32992889.98,3216242.42,0.0975
Chelsea,2425516,28403724.18,2789123.4,0.0982
University Heights,566,8554.26,532.13,0.0622
Greenwood,3747,68337.13,6991.67,0.1023
Woodhaven-Richmond Hill,1080,21304.22,1675.04,0.0786
Park Slope,39082,595491.04,56054.06,0.0941
Chinatown,122669,1690572.34,135028.59,0.0799
Corona,1616,63594.22,6894.3,0.1084
South Bronx,2165,30599.7,1579.53,0.0516
Sunny Side,110788,1861923.95,145581.02,0.0782
Soho,819837,10386729.55,1021121.76,0.0983
Clearview,58,1396.66,129.9,0.093
Dyker Heights,333,5596.08,384.06,0.0686
Upper West Side,2961230,34441620.73,3000464.65,0.0871
Harlem,145575,1960946.43,160514.97,0.0819
Bay Ridge,1424,25939.63,2140.81,0.0825
Wakefield-Williamsbridge,215,4037.0,262.54,0.065
Jamaica,7131,373117.82,32453.47,0.087
Bedford Park,540,8907.95,515.08,0.0578
East Village,1265854,15838675.48,1547456.56,0.0977
Hunts Point,352,5101.77,367.04,0.0719
Gravesend-Sheepshead Bay,1690,28642.29,2284.51,0.0798
Lower East Side,782298,10622216.3,1016311.76,0.0957
Mapleton-Flatlands,3769,55749.04,4350.18,0.078
Baychester,36,756.05,40.24,0.0532
Upper East Side,4886057,55578555.37,4736613.23,0.0852
Union Port,437,6996.86,450.72,0.0644
Central Park,458231,5248035.75,437481.78,0.0834
Woodside,28672,442041.66,27292.31,0.0617
Greenwich Village,1679215,19882970.56,1900649.87,0.0956
Forest Hills,13791,264854.11,18793.45,0.071
Middle Village,578,9895.92,716.92,0.0724
Downtown,75915,1246874.3,116066.64,0.0931
Morris Heights,2404,32660.58,2544.59,0.0779
Steinway,92,1223.5,100.27,0.082
Utopia,2473,78900.65,6467.6,0.082
Boerum Hill,47939,725375.48,67536.9,0.0931
Fort Green,79082,1226306.41,111864.93,0.0912
Brownsville,542,11242.39,935.91,0.0832
Bushwick,7490,113231.17,10062.45,0.0889
Clinton,1131374,13516689.19,1187574.2,0.0879
City Island,3,109.0,14.0,0.1284
Borough Park,4881,84103.54,7329.35,0.0871
Parkchester,2539,34920.39,2793.21,0.08
Astoria-Long Island City,157768,2344617.83,173070.79,0.0738
Garment District,1901523,22154508.33,1823698.2,0.0823
Morningside Heights,245446,3388023.17,310842.07,0.0917
Flushing,3868,97543.69,8062.69,0.0827
East Harlem,101920,1301206.14,90411.86,0.0695
College Point,1,14.9,2.4,0.1611
Mott Haven,7098,100148.15,5019.85,0.0501
Washington Heights,39453,758207.05,68246.85,0.09
Carroll Gardens,59387,1056972.18,110342.89,0.1044
Flatbush,79,1184.85,104.95,0.0886
Laurelton,210,5532.38,360.7,0.0652
Canarsie,625,11702.13,1029.84,0.088
Tribeca,635433,8707751.07,881872.02,0.1013
The Rockaways,60,1390.36,69.9,0.0503
High Bridge,2193,32219.56,1792.45,0.0556
Midtown,5807126,67810575.76,6133617.22,0.0905
Saintalbans,110,2231.68,155.52,0.0697
Queensboro Hill,399,6912.35,516.19,0.0747
Tremont,841,12388.86,852.86,0.0688
Bensonhurst,595,11026.19,651.85,0.0591
Carnegie Hill,441515,5027927.03,409537.39,0.0815
Douglastown-Little Neck,521,9381.9,731.2,0.0779
Murray Hill,1186264,13570525.84,1270159.35,0.0936
East Brooklyn,812,17274.46,1372.62,0.0795
Nkew Gardens,3575,85609.43,6717.28,0.0785
Springfield Gardens,1036,48089.05,4133.82,0.086
Woodlawn-Nordwood,130,3036.47,179.16,0.059
Hamilton Heights,60468,935455.02,77139.22,0.0825
Bedford-Stuyvesant,13457,203652.78,16667.49,0.0818
Morris Park,269,5105.58,356.02,0.0697
Sunset Park,1483,27004.26,2023.27,0.0749
Country Club,139,2615.77,137.04,0.0524
Maspeth,3047,95860.15,8689.16,0.0906
Throggs Neck,236,3982.77,302.72,0.076
North Sutton Area,394826,4506626.3,380625.78,0.0845
Soundview,619,9392.64,615.23,0.0655
Glendale,413,7298.2,539.52,0.0739
Little Italy,326209,4104747.07,407840.49,0.0994
Riverdale,378,6931.66,513.62,0.0741
Fordham,489,7600.34,473.32,0.0623
Yorkville,279808,3472255.33,271543.58,0.0782
Kings Bridge,490,8405.5,449.16,0.0534
Spuyten Duyvil,202,4480.74,433.32,0.0967
Battery Park,287220,4689865.11,493325.58,0.1052
