source,destination,time of trips,revenue,tip amount,tip percentage
Upper East Side,Upper East Side,6937961,51085738.59,3886135.36,0.0761
Midtown,Midtown,5604791,46938457.47,3650022.5,0.0778
Upper East Side,Midtown,4124949,45287502.7,3826452.71,0.0845
Upper West Side,Upper West Side,4026672,30178555.53,2421860.14,0.0803
Midtown,Upper East Side,3815982,39451174.26,3427180.99,0.0869
Garment District,Midtown,2370015,22489084.76,1654375.5,0.0736
Midtown,Gramercy,2245887,23877148.65,2330454.07,0.0976
Upper West Side,Midtown,2232361,25242422.1,2243476.87,0.0889
Midtown,Upper West Side,2219128,25030030.87,2292480.17,0.0916
Gramercy,Midtown,2187757,23712301.8,2270415.24,0.0957
Midtown,Garment District,2037240,19952916.2,1535674.66,0.077
Upper East Side,Upper West Side,1993232,23263434.05,1943354.44,0.0835
Upper West Side,Upper East Side,1926853,22468928.72,1930088.5,0.0859
Chelsea,Midtown,1671842,19745383.14,1848882.54,0.0936
Gramercy,Gramercy,1574796,11669905.16,1089509.95,0.0934
Chelsea,Chelsea,1538053,11548052.48,1092439.96,0.0946
Midtown,Chelsea,1464270,17623580.05,1690880.24,0.0959
Midtown,Clinton,1214209,11801316.22,957105.34,0.0811
Gramercy,Upper East Side,1151384,16114993.06,1568134.19,0.0973
Clinton,Midtown,1142921,10545534.3,864391.58,0.082
Murray Hill,Midtown,1124342,10116368.29,885241.49,0.0875
Upper East Side,Gramercy,1118833,16328222.53,1549018.47,0.0949
Chelsea,Gramercy,1076273,9616051.49,941446.21,0.0979
Midtown,Murray Hill,1047352,9301107.54,808537.78,0.0869
Gramercy,Chelsea,1002980,9343878.2,920603.44,0.0985
Gramercy,Garment District,964264,9415733.94,864291.4,0.0918
Gramercy,Murray Hill,874835,6919624.57,647498.97,0.0936
Garment District,Gramercy,867326,7934071.95,700660.42,0.0883
Greenwich Village,Midtown,858989,11969239.97,1078985.26,0.0901
Upper East Side,Garment District,834376,13471068.92,1190438.68,0.0884
Gramercy,Greenwich Village,832825,7256769.25,720145.93,0.0992
Chelsea,Garment District,831252,6909943.03,615744.67,0.0891
Greenwich Village,Chelsea,817223,7247466.18,707956.51,0.0977
Midtown,Greenwich Village,793396,11183177.05,1079660.22,0.0965
Chelsea,Greenwich Village,789022,7021483.03,689786.58,0.0982
Garment District,Upper East Side,779396,12007655.34,1033246.36,0.086
Greenwich Village,Gramercy,773096,7076409.91,698136.45,0.0987
Upper East Side,Carnegie Hill,771643,5860936.34,440860.34,0.0752
Gramercy,East Village,763538,6599176.66,658369.25,0.0998
East Village,Gramercy,738273,6025034.09,604375.31,0.1003
Murray Hill,Gramercy,720766,5632076.76,529391.09,0.094
Carnegie Hill,Upper East Side,669966,5515069.4,415124.12,0.0753
Murray Hill,Upper East Side,666573,7784406.69,709635.77,0.0912
Clinton,Chelsea,654397,5756046.66,521583.15,0.0906
Garment District,Chelsea,645107,5158217.58,442993.5,0.0859
Chelsea,Clinton,640289,5955093.09,540893.55,0.0908
Greenwich Village,Greenwich Village,636621,4585828.18,405051.42,0.0883
Upper East Side,Murray Hill,627051,7815254.69,686670.83,0.0879
West Village,Chelsea,594819,4777824.79,476823.54,0.0998
Chelsea,Upper East Side,582989,10261687.16,1011244.36,0.0985
Midtown,East Village,560362,8088954.17,831470.58,0.1028
Greenwich Village,East Village,558168,4698778.69,436107.8,0.0928
East Village,Midtown,547924,7692344.32,744988.14,0.0968
West Village,Midtown,541798,7842844.92,727415.72,0.0927
Chelsea,Upper West Side,536557,8346177.92,828560.06,0.0993
Midtown,Financial District,531574,11973719.03,1090979.88,0.0911
Chelsea,West Village,525811,4282567.13,427359.42,0.0998
Upper East Side,Chelsea,524580,9676524.13,953678.84,0.0986
Upper West Side,Clinton,518022,5851965.32,503753.2,0.0861
Upper East Side,Central Park,508441,5066871.7,408148.57,0.0806
Upper East Side,Yorkville,507721,4231789.47,319367.04,0.0755
Garment District,Murray Hill,490331,4293259.14,342164.3,0.0797
Garment District,Clinton,487600,4082045.0,287561.24,0.0704
East Village,Greenwich Village,485657,3935083.17,375708.22,0.0955
Central Park,Upper East Side,478403,4939656.53,405935.28,0.0822
Midtown,West Village,476133,7067272.26,669248.1,0.0947
Garment District,Garment District,469129,3675381.95,247526.62,0.0673
Upper West Side,Chelsea,467301,7284110.5,715386.25,0.0982
Murray Hill,Garment District,464875,4222607.82,352982.54,0.0836
East Village,East Village,459403,3277498.09,282320.09,0.0861
Financial District,Midtown,455667,10039201.81,888783.21,0.0885
Clinton,Upper West Side,451057,4825098.32,431261.01,0.0894
Garment District,Upper West Side,450899,6146357.2,523210.75,0.0851
Midtown,Central Park,450721,4683968.84,360378.25,0.0769
Midtown,Soho,442573,7415974.15,650661.97,0.0877
Chelsea,Murray Hill,435981,4723053.46,458694.8,0.0971
Greenwich Village,Garment District,434809,4720940.58,400041.48,0.0847
Chelsea,East Village,433147,5147422.84,520486.12,0.1011
Soho,Midtown,426333,7027897.3,592958.2,0.0844
Upper West Side,Morningside Heights,422599,3968299.6,341473.41,0.0861
Central Park,Midtown,421635,4686091.03,364979.81,0.0779
Soho,Chelsea,421219,4460139.22,452887.56,0.1015
Clinton,Clinton,420755,3243892.24,240064.01,0.074
East Village,Chelsea,409895,4816473.35,488490.61,0.1014
North Sutton Area,Upper East Side,408015,3436171.3,264014.42,0.0768
Greenwich Village,Upper East Side,405530,7461996.85,730593.37,0.0979
Gramercy,Upper West Side,402654,7372729.79,734963.97,0.0997
Chelsea,Soho,401132,4519339.54,459666.14,0.1017
Central Park,Upper West Side,397051,3308557.14,266364.41,0.0805
Gramercy,Soho,395997,4366690.21,447600.73,0.1025
Upper East Side,North Sutton Area,392169,3536316.15,266880.5,0.0755
North Sutton Area,Midtown,389649,3290894.02,250878.01,0.0762
Greenwich Village,Soho,387196,3024365.86,288417.05,0.0954
Gramercy,Lower East Side,386980,4707538.36,451662.09,0.0959
Greenwich Village,West Village,386274,3071280.67,287301.34,0.0935
Clinton,Garment District,385732,3355626.09,247599.16,0.0738
Upper West Side,Gramercy,376589,6883468.31,673209.29,0.0978
East Village,Upper East Side,374350,6020487.61,621726.79,0.1033
East Village,Lower East Side,363523,3121140.91,275387.41,0.0882
Gramercy,West Village,360286,3899357.96,394829.69,0.1013
Upper East Side,Greenwich Village,355521,6717335.17,650097.83,0.0968
Lower East Side,Gramercy,353459,3808805.5,382262.72,0.1004
Yorkville,Upper East Side,353218,3150685.31,243087.33,0.0772
West Village,Greenwich Village,351596,2894896.17,275381.16,0.0951
Upper West Side,Garment District,349186,4901366.88,419928.08,0.0857
Upper West Side,Central Park,348077,2987462.58,235979.15,0.079
Morningside Heights,Upper West Side,345311,3412183.22,300307.01,0.088
Murray Hill,Chelsea,341760,3716981.17,360086.16,0.0969
Lower East Side,East Village,336678,2569475.36,231371.33,0.09
West Village,Gramercy,331454,3692841.13,377439.37,0.1022
Clinton,Gramercy,330265,4029315.29,377668.36,0.0937
Tribeca,Midtown,329904,6230018.28,612123.29,0.0983
Carnegie Hill,Midtown,326912,4381028.56,360135.72,0.0822
Gramercy,Clinton,325117,4095059.37,383500.46,0.0936
Upper East Side,Clinton,320250,5162819.35,451426.14,0.0874
Gramercy,Financial District,315181,5292946.66,520903.32,0.0984
Garment District,Greenwich Village,314639,3352760.03,284383.33,0.0848
Midtown,Carnegie Hill,307840,3786576.15,310034.44,0.0819
Clinton,Upper East Side,305597,4642695.99,413631.36,0.0891
Midtown,Tribeca,301562,5860334.38,583656.31,0.0996
Soho,Greenwich Village,300543,2256987.5,213832.56,0.0947
Greenwich Village,Lower East Side,299825,3205795.22,293417.36,0.0915
Midtown,Lower East Side,299259,5481566.33,506223.18,0.0924
Upper East Side,East Village,299223,5143881.78,510140.53,0.0992
Lower East Side,Midtown,289472,4905992.12,443712.76,0.0904
Greenwich Village,Murray Hill,288250,3368203.44,312458.87,0.0928
East Village,Garment District,287059,3781303.78,348977.97,0.0923
Upper West Side,Carnegie Hill,279359,2994719.14,241331.89,0.0806
Soho,Gramercy,273940,3165000.37,324119.99,0.1024
Upper West Side,Harlem,269660,3398268.13,257287.01,0.0757
Carnegie Hill,Upper West Side,269329,2816114.93,224956.33,0.0799
Tribeca,Chelsea,268565,3239031.56,336092.13,0.1038
Midtown,North Sutton Area,266075,2205108.08,171048.41,0.0776
Soho,West Village,262542,2252194.95,211089.61,0.0937
Chelsea,Tribeca,257124,3231511.96,330983.03,0.1024
Astoria-Long Island City,Astoria-Long Island City,256142,2071989.18,118326.36,0.0571
Greenwich Village,Tribeca,254144,2459477.94,246676.4,0.1003
Murray Hill,Murray Hill,251823,2076305.98,172735.02,0.0832
Lower East Side,Lower East Side,250524,2061185.12,161596.0,0.0784
Lower East Side,Greenwich Village,249732,2371264.44,229774.77,0.0969
Financial District,Financial District,248384,2048584.15,162969.85,0.0796
Greenwich Village,Upper West Side,245916,4905039.7,490043.99,0.0999
Upper East Side,East Harlem,245074,2533865.51,185073.51,0.073
West Village,Garment District,243304,2491182.36,223016.56,0.0895
West Village,Soho,240781,2234335.4,215199.82,0.0963
Chelsea,Financial District,235420,3909548.28,386224.61,0.0988
