Astoria-Long Island City,Astoria-Long Island City	22005,175023.78,10329.05
Astoria-Long Island City,Auburndale	42,1435.84,76.84
Astoria-Long Island City,Battery Park	88,2934.27,335.79
Astoria-Long Island City,Bay Ridge	37,1786.78,115.78
Astoria-Long Island City,Baychester	3,126.66,0.00
Astoria-Long Island City,Bedford Park	32,1307.73,69.48
Astoria-Long Island City,Bedford-Stuyvesant	249,7282.56,654.76
Astoria-Long Island City,Bensonhurst	12,506.00,7.00
Astoria-Long Island City,Boerum Hill	56,1827.68,211.68
Astoria-Long Island City,Borough Park	35,1519.19,104.86
Astoria-Long Island City,Brownsville	13,499.50,12.00
Astoria-Long Island City,Bushwick	187,5094.09,449.11
Astoria-Long Island City,Canarsie	11,559.70,24.70
Astoria-Long Island City,Carnegie Hill	131,2772.60,219.49
Astoria-Long Island City,Carroll Gardens	47,1799.10,222.12
Astoria-Long Island City,Central Park	273,5591.86,460.47
Astoria-Long Island City,Chelsea	1112,26750.33,2501.30
Astoria-Long Island City,Chinatown	65,1707.51,111.70
Astoria-Long Island City,City Island	2,98.74,11.08
Astoria-Long Island City,Clearview	25,909.54,66.64
Astoria-Long Island City,Clinton	697,15997.53,1341.14
Astoria-Long Island City,Cobble Hill	17,564.47,71.98
Astoria-Long Island City,Corona	5,78.50,4.00
Astoria-Long Island City,Country Club	7,313.75,17.26
Astoria-Long Island City,Douglastown-Little Neck	26,1229.70,109.70
Astoria-Long Island City,Downtown	85,2593.90,282.92
Astoria-Long Island City,Dyker Heights	10,458.00,5.00
Astoria-Long Island City,East Brooklyn	34,1290.87,49.37
Astoria-Long Island City,East Harlem	240,5094.79,341.96
Astoria-Long Island City,East Village	805,17628.31,1512.05
Astoria-Long Island City,Financial District	485,15222.99,1491.75
Astoria-Long Island City,Flushing	182,4603.06,281.57
Astoria-Long Island City,Fordham	17,658.16,36.03
Astoria-Long Island City,Forest Hills	574,14185.27,1060.78
Astoria-Long Island City,Fort Green	295,8877.76,1007.79
Astoria-Long Island City,Garment District	1246,27199.11,2513.87
Astoria-Long Island City,Glendale	41,1108.30,57.80
Astoria-Long Island City,Gramercy	1833,36594.38,3248.42
Astoria-Long Island City,Gravesend-Sheepshead Bay	14,810.02,63.02
Astoria-Long Island City,Greenwich Village	595,13973.04,1349.01
Astoria-Long Island City,Greenwood	16,618.77,52.27
Astoria-Long Island City,Hamilton Heights	164,5016.59,431.02
Astoria-Long Island City,Harlem	482,12369.17,976.32
Astoria-Long Island City,High Bridge	36,1113.79,104.89
Astoria-Long Island City,Hunts Point	50,1325.56,15.30
Astoria-Long Island City,Inwood	51,1861.24,140.80
Astoria-Long Island City,Jackson Heights	2557,33226.37,1189.10
Astoria-Long Island City,Jamaica	161,5893.11,368.11
Astoria-Long Island City,Kings Bridge	22,799.24,21.79
Astoria-Long Island City,Laurelton	7,372.62,70.62
Astoria-Long Island City,Little Italy	92,2399.05,219.09
Astoria-Long Island City,Lower East Side	479,12261.81,1113.90
Astoria-Long Island City,Mapleton-Flatlands	18,912.44,89.95
Astoria-Long Island City,Maspeth	293,4646.68,122.67
Astoria-Long Island City,Middle Village	114,2560.42,134.92
Astoria-Long Island City,Midtown	5125,90883.56,8220.28
Astoria-Long Island City,Morningside Heights	150,4511.44,440.19
Astoria-Long Island City,Morris Heights	12,418.29,17.32
Astoria-Long Island City,Morris Park	15,530.83,18.86
Astoria-Long Island City,Mott Haven	141,3284.87,165.01
Astoria-Long Island City,Murray Hill	928,17197.83,1638.19
Astoria-Long Island City,Nkew Gardens	240,7171.32,517.32
Astoria-Long Island City,North Sutton Area	627,8363.26,593.94
Astoria-Long Island City,Park Slope	164,6329.66,708.18
Astoria-Long Island City,Parkchester	29,1032.22,18.77
Astoria-Long Island City,Queens Village	30,1480.35,126.85
Astoria-Long Island City,Queensboro Hill	82,2150.77,110.27
Astoria-Long Island City,Ridgewood	213,4813.27,231.79
Astoria-Long Island City,Riverdale	14,711.36,64.29
Astoria-Long Island City,Saintalbans	25,1067.62,84.13
Astoria-Long Island City,Soho	330,9309.71,1028.94
Astoria-Long Island City,Soundview	30,936.11,17.35
Astoria-Long Island City,South Bronx	103,2963.68,173.03
Astoria-Long Island City,Springfield Gardens	24,1031.13,54.30
Astoria-Long Island City,Spuyten Duyvil	2,83.62,8.62
Astoria-Long Island City,Steinway	3,43.00,2.00
Astoria-Long Island City,Sunny Side	3970,38676.17,2393.17
Astoria-Long Island City,Sunset Park	33,1387.00,99.00
Astoria-Long Island City,The Rockaways	4,279.25,19.75
Astoria-Long Island City,Throggs Neck	20,757.87,58.41
Astoria-Long Island City,Tremont	47,1591.81,97.11
Astoria-Long Island City,Tribeca	171,5336.30,590.67
Astoria-Long Island City,Union Port	14,484.12,13.66
Astoria-Long Island City,University Heights	20,743.34,17.87
Astoria-Long Island City,Upper East Side	5180,80454.67,6370.94
Astoria-Long Island City,Upper West Side	1354,30376.90,2693.54
Astoria-Long Island City,Utopia	176,5700.52,353.01
Astoria-Long Island City,Wakefield-Williamsbridge	8,357.19,11.05
Astoria-Long Island City,Washington Heights	291,10298.76,903.36
Astoria-Long Island City,West Village	303,7902.54,729.23
Astoria-Long Island City,Williams Bridge	13,520.56,33.43
Astoria-Long Island City,Williamsburg	586,13024.90,1128.49
Astoria-Long Island City,Woodhaven-Richmond Hill	104,3499.64,172.65
Astoria-Long Island City,Woodlawn-Nordwood	6,284.52,28.20
Astoria-Long Island City,Woodside	1627,17667.86,904.42
Astoria-Long Island City,Yorkville	528,11077.57,888.52
Auburndale,Astoria-Long Island City	1,36.00,5.00
Auburndale,Auburndale	17,270.29,12.96
Auburndale,Clearview	1,7.50,0.00
Auburndale,Douglastown-Little Neck	2,29.50,0.00
Auburndale,Flushing	5,52.00,0.00
Auburndale,Hamilton Heights	1,29.50,2.00
Auburndale,Jackson Heights	1,17.50,0.00
Auburndale,Jamaica	2,36.00,0.00
Auburndale,Laurelton	1,50.00,5.00
Auburndale,Maspeth	1,21.00,0.00
Auburndale,Midtown	2,106.99,9.83
Auburndale,Nkew Gardens	1,13.50,0.00
Auburndale,Queensboro Hill	5,45.20,1.20
Auburndale,Ridgewood	1,28.50,0.00
