Astoria-Long Island City,Astoria-Long Island City	20420,161006.42,8814.44
Astoria-Long Island City,Auburndale	44,1433.21,64.88
Astoria-Long Island City,Battery Park	101,3501.87,412.21
Astoria-Long Island City,Bay Ridge	45,2089.25,94.75
Astoria-Long Island City,Baychester	2,84.16,5.00
Astoria-Long Island City,Bedford Park	21,834.30,24.01
Astoria-Long Island City,Bedford-Stuyvesant	173,4971.16,383.16
Astoria-Long Island City,Bensonhurst	10,518.80,13.80
Astoria-Long Island City,Boerum Hill	51,1654.75,160.75
Astoria-Long Island City,Borough Park	25,1123.22,87.22
Astoria-Long Island City,Brownsville	14,588.50,25.50
Astoria-Long Island City,Bushwick	190,5053.23,371.73
Astoria-Long Island City,Canarsie	8,421.75,17.25
Astoria-Long Island City,Carnegie Hill	134,2830.45,176.51
Astoria-Long Island City,Carroll Gardens	68,2542.48,267.48
Astoria-Long Island City,Central Park	391,8040.63,722.07
Astoria-Long Island City,Chelsea	1197,29089.24,2620.38
Astoria-Long Island City,Chinatown	65,1768.51,128.35
Astoria-Long Island City,Clearview	23,771.75,39.75
Astoria-Long Island City,Clinton	758,16600.68,1264.90
Astoria-Long Island City,Cobble Hill	19,637.02,57.52
Astoria-Long Island City,Corona	3,57.55,0.05
Astoria-Long Island City,Country Club	6,265.29,13.30
Astoria-Long Island City,Douglastown-Little Neck	21,969.39,53.89
Astoria-Long Island City,Downtown	103,3203.00,313.00
Astoria-Long Island City,Dyker Heights	6,310.40,25.40
Astoria-Long Island City,East Brooklyn	36,1391.33,51.33
Astoria-Long Island City,East Harlem	305,6498.67,418.80
Astoria-Long Island City,East Village	904,20126.86,1607.43
Astoria-Long Island City,Financial District	568,17638.64,1576.51
Astoria-Long Island City,Flushing	271,6257.36,285.03
Astoria-Long Island City,Fordham	30,1143.48,45.21
Astoria-Long Island City,Forest Hills	384,9595.02,667.36
Astoria-Long Island City,Fort Green	259,8103.65,874.65
Astoria-Long Island City,Garment District	1213,26138.52,2267.54
Astoria-Long Island City,Glendale	55,1652.73,95.73
Astoria-Long Island City,Gramercy	2236,44370.69,3594.81
Astoria-Long Island City,Gravesend-Sheepshead Bay	27,1539.53,66.70
Astoria-Long Island City,Greenwich Village	742,17557.19,1588.75
Astoria-Long Island City,Greenwood	14,581.92,55.42
Astoria-Long Island City,Hamilton Heights	202,6201.63,496.18
Astoria-Long Island City,Harlem	488,12175.76,772.03
Astoria-Long Island City,High Bridge	75,2093.20,143.59
Astoria-Long Island City,Hunts Point	19,578.24,30.60
Astoria-Long Island City,Inwood	41,1532.21,89.92
Astoria-Long Island City,Jackson Heights	2150,27563.06,1107.73
Astoria-Long Island City,Jamaica	116,4072.75,206.75
Astoria-Long Island City,Kings Bridge	15,558.42,8.50
Astoria-Long Island City,Laurelton	4,175.00,0.00
Astoria-Long Island City,Little Italy	85,2332.13,191.80
Astoria-Long Island City,Lower East Side	602,15889.80,1365.32
Astoria-Long Island City,Mapleton-Flatlands	20,916.83,62.50
Astoria-Long Island City,Maspeth	241,3959.73,145.73
Astoria-Long Island City,Middle Village	86,1847.75,76.75
Astoria-Long Island City,Midtown	5622,97725.83,8364.04
Astoria-Long Island City,Morningside Heights	242,7039.10,708.18
Astoria-Long Island City,Morris Heights	18,600.58,15.45
Astoria-Long Island City,Morris Park	30,1166.37,80.12
Astoria-Long Island City,Mott Haven	145,3423.15,186.62
Astoria-Long Island City,Murray Hill	1096,19523.49,1646.50
Astoria-Long Island City,Nkew Gardens	216,6309.98,443.48
Astoria-Long Island City,North Sutton Area	703,9426.33,664.68
Astoria-Long Island City,Park Slope	99,3709.16,376.16
Astoria-Long Island City,Parkchester	45,1677.42,81.42
Astoria-Long Island City,Queens Village	18,749.35,39.85
Astoria-Long Island City,Queensboro Hill	74,1942.97,84.97
Astoria-Long Island City,Ridgewood	175,4021.30,162.47
Astoria-Long Island City,Riverdale	15,684.73,106.50
Astoria-Long Island City,Saintalbans	13,551.13,38.63
Astoria-Long Island City,Soho	408,11472.44,1172.47
Astoria-Long Island City,Soundview	23,682.96,17.00
Astoria-Long Island City,South Bronx	123,3653.88,208.33
Astoria-Long Island City,Springfield Gardens	6,258.30,10.80
Astoria-Long Island City,Spuyten Duyvil	2,78.33,6.00
Astoria-Long Island City,Steinway	1,10.50,0.00
Astoria-Long Island City,Sunny Side	3750,36374.53,2045.15
Astoria-Long Island City,Sunset Park	23,978.80,28.30
Astoria-Long Island City,The Rockaways	6,364.87,13.87
Astoria-Long Island City,Throggs Neck	8,291.79,6.15
Astoria-Long Island City,Tremont	33,1172.96,60.54
Astoria-Long Island City,Tribeca	175,5514.07,616.43
Astoria-Long Island City,Union Port	16,570.36,17.73
Astoria-Long Island City,University Heights	32,1136.77,38.00
Astoria-Long Island City,Upper East Side	5915,90783.57,7009.98
Astoria-Long Island City,Upper West Side	1691,37162.60,3193.45
Astoria-Long Island City,Utopia	129,3985.25,207.75
Astoria-Long Island City,Wakefield-Williamsbridge	15,647.91,37.45
Astoria-Long Island City,Washington Heights	348,11623.76,769.64
Astoria-Long Island City,West Village	389,10258.24,905.92
Astoria-Long Island City,Williams Bridge	12,482.41,10.10
Astoria-Long Island City,Williamsburg	608,13717.77,1228.27
Astoria-Long Island City,Woodhaven-Richmond Hill	112,3778.67,134.17
Astoria-Long Island City,Woodlawn-Nordwood	5,183.42,14.10
Astoria-Long Island City,Woodside	1364,14701.91,702.91
Astoria-Long Island City,Yorkville	618,12618.75,811.80
Auburndale,Auburndale	36,1111.69,31.53
Auburndale,Clearview	1,9.50,0.00
Auburndale,Douglastown-Little Neck	2,35.00,0.00
Auburndale,East Brooklyn	1,52.80,8.80
Auburndale,Financial District	2,51.45,9.45
Auburndale,Flushing	6,69.90,1.90
Auburndale,Garment District	1,46.33,1.00
Auburndale,Jackson Heights	4,69.00,1.00
Auburndale,Jamaica	2,44.50,0.00
Auburndale,Nkew Gardens	3,55.10,6.60
Auburndale,Sunny Side	1,25.00,0.00
Auburndale,Upper East Side	1,49.10,8.10
Auburndale,Utopia	4,52.50,1.00
Auburndale,Woodside	1,40.70,6.70
Battery Park,Astoria-Long Island City	233,8334.65,927.85
Battery Park,Auburndale	4,259.95,46.62
Battery Park,Battery Park	3799,34101.32,3249.84
Battery Park,Bay Ridge	94,3221.79,329.21
Battery Park,Bedford Park	5,260.74,17.80
Battery Park,Bedford-Stuyvesant	129,3612.85,366.36
Battery Park,Bensonhurst	52,2116.46,319.11
Battery Park,Boerum Hill	147,2929.55,335.75
Battery Park,Borough Park	67,1982.35,233.53
Battery Park,Brownsville	21,825.97,30.35
Battery Park,Bushwick	43,1271.31,110.98
Battery Park,Canarsie	9,487.57,33.74
Battery Park,Carnegie Hill	339,10457.83,999.33
Battery Park,Carroll Gardens	231,5136.59,585.99
Battery Park,Central Park	496,12279.93,1088.93
Battery Park,Chelsea	11566,168148.74,17380.49
Battery Park,Chinatown	787,9084.82,611.82
Battery Park,Clearview	10,666.38,108.06
Battery Park,Clinton	4063,72394.86,6857.36
Battery Park,Cobble Hill	118,2285.88,272.81
Battery Park,Country Club	15,986.80,108.80
Battery Park,Douglastown-Little Neck	3,228.18,26.02
Battery Park,Downtown	564,9706.67,969.71
Battery Park,Dyker Heights	30,1014.13,119.72
Battery Park,East Brooklyn	2,111.00,4.00
Battery Park,East Harlem	59,1983.50,236.00
Battery Park,East Village	2676,47787.28,5095.28
Battery Park,Financial District	10265,88588.19,8622.65
Battery Park,Flatbush	1,31.83,2.00
Battery Park,Flushing	30,1597.33,167.87
Battery Park,Fordham	5,272.70,19.20
Battery Park,Forest Hills	105,4826.85,472.80
Battery Park,Fort Green	456,10511.21,1182.94
Battery Park,Garment District	6276,113761.04,11229.54
Battery Park,Glendale	3,119.20,15.70
Battery Park,Gramercy	7181,141244.95,14859.12
Battery Park,Gravesend-Sheepshead Bay	95,4457.18,648.96
Battery Park,Greenwich Village	6503,84652.24,8691.24
Battery Park,Greenwood	47,1216.46,172.25
Battery Park,Hamilton Heights	88,2929.19,302.19
Battery Park,Harlem	177,6195.41,681.41
Battery Park,High Bridge	34,1440.06,145.56
Battery Park,Hunts Point	5,208.60,8.10
Battery Park,Inwood	23,1028.05,132.05
Battery Park,Jackson Heights	70,3025.23,290.12
Battery Park,Jamaica	33,1955.01,242.54
Battery Park,Kings Bridge	1,40.50,0.00
Battery Park,Laurelton	1,97.63,15.30
Battery Park,Little Italy	1110,14623.22,1380.72
Battery Park,Lower East Side	3173,47909.23,4545.23
Battery Park,Mapleton-Flatlands	109,3925.63,432.76
Battery Park,Maspeth	21,672.87,33.71
Battery Park,Middle Village	23,862.03,71.71
Battery Park,Midtown	18201,418938.89,43401.06
Battery Park,Morningside Heights	232,7072.00,727.00
Battery Park,Morris Heights	18,864.05,132.05
Battery Park,Morris Park	8,415.30,10.30
Battery Park,Mott Haven	17,675.75,74.75
Battery Park,Murray Hill	3851,86832.87,9312.04
Battery Park,Nkew Gardens	48,2697.31,374.93
Battery Park,North Sutton Area	430,10274.25,996.25
Battery Park,Park Slope	536,13614.23,1741.75
Battery Park,Parkchester	24,1268.57,171.74
Battery Park,Queens Village	4,230.83,8.00
Battery Park,Queensboro Hill	1,51.00,4.00
Battery Park,Ridgewood	13,481.33,63.50
Battery Park,Riverdale	13,683.64,56.36
Battery Park,Saintalbans	1,60.00,6.00
Battery Park,Soho	7084,72244.99,7132.74
Battery Park,Soundview	4,181.30,9.30
Battery Park,South Bronx	11,493.97,60.97
Battery Park,Springfield Gardens	1,65.58,5.08
Battery Park,Spuyten Duyvil	6,333.60,54.96
Battery Park,Sunny Side	154,5179.85,634.33
Battery Park,Sunset Park	50,1429.72,117.75
Battery Park,The Rockaways	1,66.83,0.00
Battery Park,Throggs Neck	3,160.40,20.40
Battery Park,Tremont	10,458.68,37.18
Battery Park,Tribeca	9802,73420.83,6941.25
Battery Park,Union Port	2,101.12,11.12
Battery Park,University Heights	10,509.00,81.00
Battery Park,Upper East Side	5193,144400.90,14853.40
Battery Park,Upper West Side	3799,90860.80,9718.30
Battery Park,Utopia	26,1439.15,156.18
Battery Park,Wakefield-Williamsbridge	4,242.70,26.20
Battery Park,Washington Heights	194,7677.51,737.01
Battery Park,West Village	6901,76108.86,7649.36
Battery Park,Williamsburg	560,12006.49,1313.68
Battery Park,Woodhaven-Richmond Hill	24,1238.75,100.10
Battery Park,Woodlawn-Nordwood	1,55.50,0.00
Battery Park,Woodside	36,1389.97,121.00
Battery Park,Yorkville	222,7153.19,770.69
Bay Ridge,Battery Park	1,23.33,0.00
Bay Ridge,Bay Ridge	254,2909.98,234.53
Bay Ridge,Bedford-Stuyvesant	3,93.25,7.25
Bay Ridge,Bensonhurst	33,368.72,35.72
Bay Ridge,Boerum Hill	8,225.75,72.75
Bay Ridge,Borough Park	15,201.70,7.70
Bay Ridge,Brownsville	2,73.50,0.00
Bay Ridge,Bushwick	1,43.00,0.00
Bay Ridge,Canarsie	9,287.50,0.00
Bay Ridge,Carnegie Hill	2,29.40,3.90
Bay Ridge,Carroll Gardens	14,245.38,24.38
Bay Ridge,Chelsea	6,193.99,8.00
Bay Ridge,Clinton	10,325.38,16.40
Bay Ridge,Cobble Hill	2,38.50,0.00
Bay Ridge,Downtown	1,7.00,0.00
Bay Ridge,Dyker Heights	29,230.90,9.90
Bay Ridge,Financial District	2,37.33,0.00
Bay Ridge,Forest Hills	2,99.50,7.00
Bay Ridge,Fort Green	8,215.19,17.69
Bay Ridge,Garment District	2,61.69,8.86
Bay Ridge,Gramercy	8,211.99,10.00
Bay Ridge,Gravesend-Sheepshead Bay	35,796.35,39.85
Bay Ridge,Greenwich Village	6,142.03,16.70
Bay Ridge,Greenwood	7,101.80,2.30
Bay Ridge,Hamilton Heights	1,69.53,14.70
Bay Ridge,Harlem	1,25.20,4.20
Bay Ridge,Jackson Heights	3,133.50,0.00
Bay Ridge,Little Italy	1,12.00,1.00
Bay Ridge,Lower East Side	4,122.80,9.80
Bay Ridge,Mapleton-Flatlands	12,279.90,14.90
Bay Ridge,Midtown	13,392.85,21.19
Bay Ridge,Morningside Heights	3,120.23,9.90
Bay Ridge,Murray Hill	6,217.72,27.22
Bay Ridge,Nkew Gardens	2,120.40,10.90
Bay Ridge,North Sutton Area	2,75.70,11.70
Bay Ridge,Park Slope	16,349.35,34.35
Bay Ridge,Ridgewood	2,95.50,5.00
Bay Ridge,Soho	5,117.28,8.62
Bay Ridge,Sunny Side	2,76.12,8.62
Bay Ridge,Sunset Park	41,375.88,5.38
Bay Ridge,Tremont	1,58.50,0.00
Bay Ridge,Tribeca	1,24.00,0.00
Bay Ridge,Upper East Side	12,351.66,26.00
Bay Ridge,Upper West Side	2,22.50,3.00
Bay Ridge,Washington Heights	1,55.00,0.00
Bay Ridge,West Village	3,140.88,15.05
Bay Ridge,Williamsburg	3,92.50,1.00
Bay Ridge,Woodside	2,80.80,7.80
Baychester,Baychester	5,84.50,0.00
Baychester,Bedford Park	1,7.00,0.00
Baychester,Chelsea	1,9.50,1.00
Baychester,Country Club	1,7.50,0.00
Baychester,East Harlem	1,74.83,0.00
Baychester,Fordham	3,33.50,0.00
Baychester,Fort Green	1,57.00,0.00
Baychester,Harlem	1,29.00,0.00
Baychester,Murray Hill	1,51.60,8.60
Baychester,University Heights	1,17.50,0.00
Baychester,Wakefield-Williamsbridge	1,14.50,0.00
Baychester,Williams Bridge	1,7.65,1.65
Bedford Park,Astoria-Long Island City	1,46.59,7.76
