Astoria-Long Island City,Astoria-Long Island City	21876,172975.62,9257.44
Astoria-Long Island City,Auburndale	44,1481.92,79.92
Astoria-Long Island City,Battery Park	95,3033.91,251.26
Astoria-Long Island City,Bay Ridge	34,1721.58,126.25
Astoria-Long Island City,Baychester	2,91.43,10.60
Astoria-Long Island City,Bedford Park	25,991.34,42.57
Astoria-Long Island City,Bedford-Stuyvesant	231,7058.38,610.88
Astoria-Long Island City,Bensonhurst	15,790.95,40.95
Astoria-Long Island City,Boerum Hill	53,1888.09,204.09
Astoria-Long Island City,Borough Park	51,2190.22,131.72
Astoria-Long Island City,Brownsville	18,757.80,60.80
Astoria-Long Island City,Bushwick	221,6027.91,480.41
Astoria-Long Island City,Canarsie	7,385.50,7.00
Astoria-Long Island City,Carnegie Hill	145,3058.37,251.41
Astoria-Long Island City,Carroll Gardens	67,2455.45,252.62
Astoria-Long Island City,Central Park	413,8160.09,729.67
Astoria-Long Island City,Chelsea	1263,30560.74,2809.55
Astoria-Long Island City,Chinatown	58,1593.39,140.39
Astoria-Long Island City,Clearview	22,786.35,42.35
Astoria-Long Island City,Clinton	929,20458.42,1531.80
Astoria-Long Island City,Cobble Hill	24,791.00,68.00
Astoria-Long Island City,Corona	2,72.50,0.00
Astoria-Long Island City,Country Club	8,371.72,14.40
Astoria-Long Island City,Douglastown-Little Neck	28,1331.26,113.93
Astoria-Long Island City,Downtown	88,2760.18,281.18
Astoria-Long Island City,Dyker Heights	10,536.10,56.10
Astoria-Long Island City,East Brooklyn	54,2127.70,80.20
Astoria-Long Island City,East Harlem	370,7796.98,436.52
Astoria-Long Island City,East Village	1001,21616.59,1761.50
Astoria-Long Island City,Financial District	587,17906.97,1537.84
Astoria-Long Island City,Flushing	279,6684.18,361.85
Astoria-Long Island City,Fordham	28,1072.82,83.22
Astoria-Long Island City,Forest Hills	680,17008.96,1216.63
Astoria-Long Island City,Fort Green	355,10504.73,956.23
Astoria-Long Island City,Garment District	1385,30091.91,2590.33
Astoria-Long Island City,Glendale	68,2121.58,84.08
Astoria-Long Island City,Gramercy	2184,43425.15,3828.75
Astoria-Long Island City,Gravesend-Sheepshead Bay	35,2054.75,103.92
Astoria-Long Island City,Greenwich Village	757,18385.22,1727.78
Astoria-Long Island City,Greenwood	24,1006.92,134.92
Astoria-Long Island City,Hamilton Heights	191,5865.58,463.87
Astoria-Long Island City,Harlem	516,13116.91,895.73
Astoria-Long Island City,High Bridge	86,2471.94,131.03
Astoria-Long Island City,Hunts Point	31,884.18,29.41
Astoria-Long Island City,Inwood	51,1845.26,104.15
Astoria-Long Island City,Jackson Heights	2705,34896.89,1301.56
Astoria-Long Island City,Jamaica	148,5278.87,319.87
Astoria-Long Island City,Kings Bridge	25,973.88,50.60
Astoria-Long Island City,Laurelton	4,184.00,0.00
Astoria-Long Island City,Little Italy	102,2662.89,237.56
Astoria-Long Island City,Lower East Side	685,17569.67,1411.69
Astoria-Long Island City,Mapleton-Flatlands	44,2159.73,135.40
Astoria-Long Island City,Maspeth	324,5267.23,196.57
Astoria-Long Island City,Middle Village	133,2900.36,128.36
Astoria-Long Island City,Midtown	5725,100181.31,8253.42
Astoria-Long Island City,Morningside Heights	204,6003.57,641.43
Astoria-Long Island City,Morris Heights	17,582.91,34.45
Astoria-Long Island City,Morris Park	21,754.48,18.70
Astoria-Long Island City,Mott Haven	167,3873.29,182.67
Astoria-Long Island City,Murray Hill	1069,19331.94,1765.56
Astoria-Long Island City,Nkew Gardens	281,8366.71,641.71
Astoria-Long Island City,North Sutton Area	702,9294.34,641.02
Astoria-Long Island City,Park Slope	171,6259.05,670.05
Astoria-Long Island City,Parkchester	31,1157.55,69.97
Astoria-Long Island City,Queens Village	6,254.85,13.35
Astoria-Long Island City,Queensboro Hill	96,2516.00,119.00
Astoria-Long Island City,Ridgewood	216,5055.82,240.16
Astoria-Long Island City,Riverdale	13,627.99,72.85
Astoria-Long Island City,Saintalbans	12,479.05,10.55
Astoria-Long Island City,Soho	409,11262.50,1166.03
Astoria-Long Island City,Soundview	36,1225.00,64.42
Astoria-Long Island City,South Bronx	98,2836.23,152.09
Astoria-Long Island City,Springfield Gardens	12,529.30,17.30
Astoria-Long Island City,Spuyten Duyvil	8,363.35,36.88
Astoria-Long Island City,Sunny Side	4906,47199.82,2847.96
Astoria-Long Island City,Sunset Park	42,1811.90,76.90
Astoria-Long Island City,The Rockaways	13,801.78,54.03
Astoria-Long Island City,Throggs Neck	11,423.42,25.28
Astoria-Long Island City,Tremont	32,1128.73,28.98
Astoria-Long Island City,Tribeca	214,7025.13,774.32
Astoria-Long Island City,Union Port	15,524.41,21.28
Astoria-Long Island City,University Heights	35,1215.02,26.21
Astoria-Long Island City,Upper East Side	6088,92836.38,7082.40
Astoria-Long Island City,Upper West Side	1694,37557.32,3269.04
Astoria-Long Island City,Utopia	180,5931.56,368.76
Astoria-Long Island City,Wakefield-Williamsbridge	10,432.05,10.90
Astoria-Long Island City,Washington Heights	324,11192.91,745.78
Astoria-Long Island City,West Village	423,11131.93,1041.13
Astoria-Long Island City,Williams Bridge	21,774.68,15.40
Astoria-Long Island City,Williamsburg	787,17798.51,1639.01
Astoria-Long Island City,Woodhaven-Richmond Hill	105,3649.22,169.72
Astoria-Long Island City,Woodlawn-Nordwood	14,627.29,29.16
Astoria-Long Island City,Woodside	1842,20705.35,1042.85
Astoria-Long Island City,Yorkville	659,13133.00,715.09
Auburndale,Astoria-Long Island City	1,32.30,5.30
Auburndale,Auburndale	23,384.80,16.80
Auburndale,Clearview	2,18.50,0.00
Auburndale,Flushing	5,50.50,0.00
Auburndale,Garment District	1,58.27,13.44
Auburndale,Glendale	1,31.75,6.25
Auburndale,Jamaica	2,46.50,0.00
Auburndale,Laurelton	1,30.00,0.00
Auburndale,Little Italy	1,40.00,0.00
Auburndale,Lower East Side	1,44.50,0.00
Auburndale,Maspeth	1,30.00,0.00
Auburndale,Middle Village	1,22.50,0.00
Auburndale,Midtown	3,76.33,0.00
Auburndale,Nkew Gardens	4,63.00,6.00
Auburndale,Queensboro Hill	1,7.00,0.00
Auburndale,Saintalbans	1,18.60,3.10
Auburndale,Soho	1,9.50,1.50
Auburndale,Upper East Side	1,40.59,6.76
Auburndale,Utopia	4,80.00,0.00
Auburndale,West Village	1,17.40,2.90
Auburndale,Woodhaven-Richmond Hill	1,21.00,0.00
Battery Park,Astoria-Long Island City	213,7737.50,839.20
Battery Park,Auburndale	1,54.33,0.00
Battery Park,Battery Park	4136,38594.21,3488.36
Battery Park,Bay Ridge	107,3815.81,386.10
Battery Park,Bedford Park	7,404.64,29.70
Battery Park,Bedford-Stuyvesant	124,3497.78,343.96
Battery Park,Bensonhurst	48,2044.99,276.51
Battery Park,Boerum Hill	144,2998.16,357.21
Battery Park,Borough Park	83,2524.04,223.61
Battery Park,Brownsville	12,451.87,29.55
Battery Park,Bushwick	51,1639.91,151.42
Battery Park,Canarsie	18,1023.46,79.99
Battery Park,Carnegie Hill	317,9930.64,956.14
Battery Park,Carroll Gardens	229,4876.50,542.55
Battery Park,Central Park	552,13548.89,1086.39
Battery Park,Chelsea	11176,162223.52,16855.60
Battery Park,Chinatown	892,10577.45,741.45
Battery Park,Clearview	1,63.60,10.60
Battery Park,Clinton	4546,80341.13,7132.30
Battery Park,Cobble Hill	115,2296.80,255.05
Battery Park,Corona	1,64.58,10.75
Battery Park,Country Club	3,201.50,21.50
Battery Park,Douglastown-Little Neck	11,743.93,99.10
Battery Park,Downtown	444,7947.01,873.04
Battery Park,Dyker Heights	44,1532.17,156.30
Battery Park,East Brooklyn	8,346.18,27.35
Battery Park,East Harlem	62,2026.83,190.33
Battery Park,East Village	2944,51880.61,5312.63
Battery Park,Financial District	10384,90310.70,8364.12
Battery Park,Flatbush	2,52.88,5.88
Battery Park,Flushing	28,1458.10,105.47
Battery Park,Fordham	7,348.60,23.60
Battery Park,Forest Hills	68,3102.25,261.81
Battery Park,Fort Green	459,10451.71,1230.41
Battery Park,Garment District	6285,114110.99,10999.16
Battery Park,Glendale	5,200.49,12.00
Battery Park,Gramercy	6707,132080.74,13830.24
Battery Park,Gravesend-Sheepshead Bay	69,3118.82,289.00
Battery Park,Greenwich Village	6163,81309.57,8221.07
Battery Park,Greenwood	58,1523.17,165.71
Battery Park,Hamilton Heights	63,2053.25,163.75
Battery Park,Harlem	192,6719.57,632.07
Battery Park,High Bridge	20,841.40,77.90
Battery Park,Hunts Point	6,249.90,7.40
Battery Park,Inwood	20,909.32,92.32
Battery Park,Jackson Heights	74,3562.53,463.79
Battery Park,Jamaica	25,1531.09,187.96
Battery Park,Kings Bridge	3,147.62,11.12
Battery Park,Laurelton	2,167.90,27.90
Battery Park,Little Italy	1138,15432.97,1382.47
Battery Park,Lower East Side	3417,51165.76,4639.76
Battery Park,Mapleton-Flatlands	94,3384.25,321.65
Battery Park,Maspeth	25,924.83,88.52
Battery Park,Middle Village	22,899.21,81.41
Battery Park,Midtown	17174,395562.31,40572.78
Battery Park,Morningside Heights	244,7515.88,795.88
Battery Park,Morris Heights	4,163.90,8.40
Battery Park,Morris Park	11,614.91,60.75
Battery Park,Mott Haven	10,390.85,40.85
Battery Park,Murray Hill	3780,85956.79,8931.30
Battery Park,Nkew Gardens	15,775.42,81.11
Battery Park,North Sutton Area	486,11520.14,1159.64
Battery Park,Park Slope	530,13601.97,1599.58
Battery Park,Parkchester	11,574.75,63.75
Battery Park,Queens Village	5,300.16,8.50
Battery Park,Queensboro Hill	5,287.50,17.00
Battery Park,Ridgewood	24,816.58,49.09
Battery Park,Riverdale	11,562.41,47.05
Battery Park,Saintalbans	2,114.83,11.00
Battery Park,Soho	7091,73358.59,7299.43
Battery Park,Soundview	4,168.90,7.90
Battery Park,South Bronx	14,618.50,84.00
Battery Park,Springfield Gardens	2,117.80,10.80
Battery Park,Spuyten Duyvil	7,360.03,46.83
Battery Park,Sunny Side	184,6212.67,727.73
Battery Park,Sunset Park	41,1218.89,91.64
Battery Park,The Rockaways	3,229.65,28.16
Battery Park,Throggs Neck	11,633.62,63.29
Battery Park,Tremont	5,217.50,5.00
Battery Park,Tribeca	9424,71714.66,6905.08
Battery Park,Union Port	3,158.83,9.00
Battery Park,University Heights	5,238.00,15.00
Battery Park,Upper East Side	5214,143395.90,14479.57
Battery Park,Upper West Side	3739,89507.39,9477.73
Battery Park,Utopia	20,1128.85,113.88
Battery Park,Wakefield-Williamsbridge	1,58.50,8.00
Battery Park,Washington Heights	208,8244.70,771.70
Battery Park,West Village	6845,75463.38,7498.55
Battery Park,Williams Bridge	2,103.00,0.00
Battery Park,Williamsburg	622,13470.91,1484.93
Battery Park,Woodhaven-Richmond Hill	11,591.25,32.10
Battery Park,Woodlawn-Nordwood	1,48.00,0.00
Battery Park,Woodside	52,2000.64,147.83
Battery Park,Yorkville	223,7087.56,751.06
Bay Ridge,Battery Park	4,102.59,4.60
Bay Ridge,Bay Ridge	244,2997.57,272.09
Bay Ridge,Bedford Park	1,92.30,15.30
Bay Ridge,Bedford-Stuyvesant	1,34.00,0.00
Bay Ridge,Bensonhurst	35,409.86,13.86
Bay Ridge,Boerum Hill	16,325.45,21.95
Bay Ridge,Borough Park	18,272.80,11.80
Bay Ridge,Canarsie	4,159.70,10.20
Bay Ridge,Carroll Gardens	8,158.72,15.72
Bay Ridge,Chelsea	26,877.95,136.51
Bay Ridge,Chinatown	2,37.00,0.00
Bay Ridge,Clinton	3,51.00,1.50
Bay Ridge,Cobble Hill	5,107.40,3.40
Bay Ridge,Downtown	4,102.50,18.50
Bay Ridge,Dyker Heights	38,306.40,7.90
Bay Ridge,East Village	4,127.06,8.40
Bay Ridge,Financial District	5,184.09,21.60
Bay Ridge,Fordham	1,100.63,15.80
Bay Ridge,Forest Hills	1,41.50,0.00
Bay Ridge,Fort Green	12,305.95,21.45
Bay Ridge,Garment District	7,177.23,25.57
Bay Ridge,Glendale	1,60.00,10.00
Bay Ridge,Gramercy	8,169.13,11.80
Bay Ridge,Gravesend-Sheepshead Bay	23,557.55,32.55
Bay Ridge,Greenwich Village	5,159.40,10.74
Bay Ridge,Greenwood	10,113.60,7.60
Bay Ridge,Harlem	5,235.23,26.90
Bay Ridge,Jackson Heights	1,8.50,0.00
Bay Ridge,Lower East Side	7,209.32,28.32
Bay Ridge,Mapleton-Flatlands	17,392.27,30.77
Bay Ridge,Maspeth	1,43.00,0.00
Bay Ridge,Midtown	19,580.67,57.02
Bay Ridge,Murray Hill	2,79.50,5.00
Bay Ridge,North Sutton Area	1,10.00,0.00
Bay Ridge,Park Slope	18,337.60,18.60
Bay Ridge,Soho	3,84.50,5.00
Bay Ridge,Sunset Park	36,348.82,17.32
Bay Ridge,The Rockaways	1,46.00,0.00
Bay Ridge,Tribeca	3,109.95,13.62
Bay Ridge,Upper East Side	8,260.91,24.75
Bay Ridge,Upper West Side	5,193.74,24.25
Bay Ridge,West Village	4,112.91,12.75
Bay Ridge,Williamsburg	17,547.00,95.00
Bay Ridge,Woodside	1,48.00,5.00
Bay Ridge,Yorkville	1,37.59,6.26
Baychester,Baychester	5,79.90,3.90
Baychester,Country Club	1,52.50,0.00
Baychester,Fordham	1,13.00,0.00
Baychester,Hamilton Heights	1,31.00,0.00
Baychester,Harlem	1,34.70,5.70
Baychester,Morris Park	1,11.40,1.90
Baychester,South Bronx	1,25.50,0.00
Baychester,Tremont	1,27.00,0.00
Baychester,Union Port	1,28.00,0.00
Baychester,Upper West Side	1,38.50,0.00
Baychester,Wakefield-Williamsbridge	2,22.00,0.00
Baychester,Yorkville	1,33.00,0.00
Bedford Park,Astoria-Long Island City	1,52.33,10.00
Bedford Park,Baychester	2,19.50,0.00
Bedford Park,Bedford Park	63,953.27,49.95
Bedford Park,Carnegie Hill	1,22.80,3.80
Bedford Park,City Island	1,26.90,4.40
Bedford Park,Clinton	2,64.94,0.00
Bedford Park,Country Club	2,55.00,5.50
Bedford Park,East Harlem	1,25.50,0.00
Bedford Park,East Village	1,22.10,3.60
Bedford Park,Financial District	1,16.50,0.00
Bedford Park,Fordham	5,38.50,1.50
Bedford Park,Gramercy	1,13.00,0.00
Bedford Park,Hamilton Heights	3,87.00,16.00
Bedford Park,Harlem	2,47.00,0.00
Bedford Park,Inwood	3,43.00,0.00
Bedford Park,Kings Bridge	8,53.00,3.00
Bedford Park,Lower East Side	1,8.00,0.00
Bedford Park,Midtown	5,126.10,16.94
Bedford Park,Morris Heights	1,24.00,0.00
Bedford Park,Morris Park	6,69.50,0.00
Bedford Park,Mott Haven	2,38.50,0.00
Bedford Park,Murray Hill	1,47.30,7.80
Bedford Park,North Sutton Area	1,9.50,0.00
Bedford Park,Parkchester	3,51.50,0.00
Bedford Park,Riverdale	1,11.50,0.00
