Astoria-Long Island City,Astoria-Long Island City	12468,99633.03,6230.51
Astoria-Long Island City,Auburndale	22,740.42,49.92
Astoria-Long Island City,Battery Park	56,1924.62,220.97
Astoria-Long Island City,Bay Ridge	18,905.60,70.60
Astoria-Long Island City,Baychester	2,92.83,0.00
Astoria-Long Island City,Bedford Park	10,416.78,13.47
Astoria-Long Island City,Bedford-Stuyvesant	150,4359.42,398.93
Astoria-Long Island City,Bensonhurst	5,196.00,0.00
Astoria-Long Island City,Boerum Hill	32,1035.68,130.68
Astoria-Long Island City,Borough Park	17,706.56,54.06
Astoria-Long Island City,Brownsville	9,355.50,12.00
Astoria-Long Island City,Bushwick	98,2684.95,264.96
Astoria-Long Island City,Canarsie	3,151.00,1.00
Astoria-Long Island City,Carnegie Hill	76,1644.72,119.75
Astoria-Long Island City,Carroll Gardens	27,986.70,127.71
Astoria-Long Island City,Central Park	174,3666.23,338.47
Astoria-Long Island City,Chelsea	647,15923.40,1538.42
Astoria-Long Island City,Chinatown	39,1028.76,60.78
Astoria-Long Island City,City Island	1,55.91,11.08
Astoria-Long Island City,Clearview	13,485.14,37.74
Astoria-Long Island City,Clinton	385,8996.82,799.89
Astoria-Long Island City,Cobble Hill	6,166.50,19.00
Astoria-Long Island City,Corona	5,78.50,4.00
Astoria-Long Island City,Country Club	3,145.50,10.00
Astoria-Long Island City,Douglastown-Little Neck	12,578.50,51.00
Astoria-Long Island City,Downtown	52,1608.15,190.15
Astoria-Long Island City,Dyker Heights	5,223.00,5.00
Astoria-Long Island City,East Brooklyn	14,560.40,30.90
Astoria-Long Island City,East Harlem	122,2639.17,167.01
Astoria-Long Island City,East Village	425,9617.31,851.02
Astoria-Long Island City,Financial District	294,9370.57,941.30
Astoria-Long Island City,Flushing	100,2481.19,149.70
Astoria-Long Island City,Fordham	8,313.65,9.33
Astoria-Long Island City,Forest Hills	212,5203.88,421.39
Astoria-Long Island City,Fort Green	181,5449.97,627.00
Astoria-Long Island City,Garment District	612,13588.30,1263.28
Astoria-Long Island City,Glendale	15,419.52,33.52
Astoria-Long Island City,Gramercy	1052,21667.70,1911.57
Astoria-Long Island City,Gravesend-Sheepshead Bay	6,330.50,18.00
Astoria-Long Island City,Greenwich Village	350,8293.68,809.11
Astoria-Long Island City,Greenwood	9,360.90,33.90
Astoria-Long Island City,Hamilton Heights	89,2764.46,240.95
Astoria-Long Island City,Harlem	287,7505.85,668.00
Astoria-Long Island City,High Bridge	20,591.98,35.03
Astoria-Long Island City,Hunts Point	31,807.09,9.80
Astoria-Long Island City,Inwood	25,929.88,66.57
Astoria-Long Island City,Jackson Heights	1260,16445.30,609.47
Astoria-Long Island City,Jamaica	74,2703.04,178.04
Astoria-Long Island City,Kings Bridge	12,439.01,11.04
Astoria-Long Island City,Laurelton	1,45.00,0.00
Astoria-Long Island City,Little Italy	46,1258.05,130.09
Astoria-Long Island City,Lower East Side	275,7131.17,682.57
Astoria-Long Island City,Mapleton-Flatlands	6,274.00,15.50
Astoria-Long Island City,Maspeth	150,2389.18,67.67
Astoria-Long Island City,Middle Village	58,1353.97,67.97
Astoria-Long Island City,Midtown	2953,54056.26,5141.57
Astoria-Long Island City,Morningside Heights	110,3341.20,342.38
Astoria-Long Island City,Morris Heights	7,244.97,14.32
Astoria-Long Island City,Morris Park	8,263.28,7.96
Astoria-Long Island City,Mott Haven	70,1661.38,79.05
Astoria-Long Island City,Murray Hill	538,10303.25,1005.36
Astoria-Long Island City,Nkew Gardens	91,2629.42,190.92
Astoria-Long Island City,North Sutton Area	358,4943.14,370.15
Astoria-Long Island City,Park Slope	94,3567.30,401.30
Astoria-Long Island City,Parkchester	9,323.69,6.37
Astoria-Long Island City,Queens Village	12,558.25,54.75
Astoria-Long Island City,Queensboro Hill	40,1128.25,67.25
Astoria-Long Island City,Ridgewood	106,2395.83,133.84
Astoria-Long Island City,Riverdale	9,506.94,44.63
Astoria-Long Island City,Saintalbans	11,471.54,48.05
Astoria-Long Island City,Soho	205,5888.57,673.94
Astoria-Long Island City,Soundview	18,546.31,13.85
Astoria-Long Island City,South Bronx	62,1823.16,131.60
Astoria-Long Island City,Springfield Gardens	6,284.70,23.20
Astoria-Long Island City,Spuyten Duyvil	2,83.62,8.62
Astoria-Long Island City,Steinway	2,28.50,2.00
Astoria-Long Island City,Sunny Side	2302,22446.31,1474.54
Astoria-Long Island City,Sunset Park	24,984.90,70.90
Astoria-Long Island City,The Rockaways	2,124.50,5.00
Astoria-Long Island City,Throggs Neck	10,374.94,26.46
Astoria-Long Island City,Tremont	26,902.56,64.64
Astoria-Long Island City,Tribeca	99,3136.26,328.28
Astoria-Long Island City,Union Port	8,283.30,13.66
Astoria-Long Island City,University Heights	11,442.69,17.87
Astoria-Long Island City,Upper East Side	3026,47722.68,3912.34
Astoria-Long Island City,Upper West Side	754,17398.39,1643.65
Astoria-Long Island City,Utopia	72,2295.93,158.42
Astoria-Long Island City,Wakefield-Williamsbridge	5,222.70,11.05
Astoria-Long Island City,Washington Heights	173,6146.73,588.09
Astoria-Long Island City,West Village	162,4244.86,379.87
Astoria-Long Island City,Williams Bridge	8,294.46,15.65
Astoria-Long Island City,Williamsburg	312,7020.56,640.61
Astoria-Long Island City,Woodhaven-Richmond Hill	45,1563.44,91.45
Astoria-Long Island City,Woodlawn-Nordwood	5,241.19,28.20
Astoria-Long Island City,Woodside	814,8751.77,418.80
Astoria-Long Island City,Yorkville	299,6404.92,581.73
Auburndale,Astoria-Long Island City	1,36.00,5.00
Auburndale,Auburndale	6,142.79,9.96
Auburndale,Douglastown-Little Neck	1,16.00,0.00
Auburndale,Flushing	2,21.50,0.00
Auburndale,Hamilton Heights	1,29.50,2.00
Auburndale,Maspeth	1,21.00,0.00
Auburndale,Midtown	1,49.16,9.83
Auburndale,Queensboro Hill	4,37.50,0.00
Auburndale,Utopia	1,6.00,0.00
Battery Park,Astoria-Long Island City	106,3972.10,485.78
Battery Park,Auburndale	3,143.50,10.00
Battery Park,Battery Park	2367,21713.16,2277.17
Battery Park,Bay Ridge	68,2354.34,267.19
Battery Park,Bedford Park	4,236.20,25.70
Battery Park,Bedford-Stuyvesant	83,2314.66,254.84
Battery Park,Bensonhurst	20,750.10,67.15
Battery Park,Boerum Hill	88,1807.77,205.26
Battery Park,Borough Park	39,1223.42,143.51
Battery Park,Brownsville	11,416.71,38.56
Battery Park,Bushwick	27,915.41,95.58
Battery Park,Canarsie	8,337.16,20.50
Battery Park,Carnegie Hill	204,6592.29,767.46
Battery Park,Carroll Gardens	157,3413.15,388.52
Battery Park,Central Park	285,7357.68,678.18
Battery Park,Chelsea	6188,90529.88,10114.89
Battery Park,Chinatown	487,5821.62,486.79
Battery Park,Clearview	3,192.33,12.00
Battery Park,Clinton	2224,40526.67,4142.67
Battery Park,Cobble Hill	47,943.96,127.67
Battery Park,Corona	1,54.60,12.60
Battery Park,Country Club	1,68.90,11.40
Battery Park,Douglastown-Little Neck	4,299.20,34.87
Battery Park,Downtown	279,4801.25,557.63
Battery Park,Dyker Heights	21,707.56,57.45
Battery Park,East Brooklyn	6,301.49,34.33
Battery Park,East Harlem	46,1548.75,147.25
Battery Park,East Village	1501,26546.21,2899.39
Battery Park,Financial District	6771,59592.94,6101.53
Battery Park,Flushing	14,789.26,89.11
Battery Park,Forest Hills	34,1695.77,190.32
Battery Park,Fort Green	272,6131.23,751.25
Battery Park,Garment District	3697,68812.03,6880.04
Battery Park,Glendale	2,95.30,9.47
Battery Park,Gramercy	3964,78952.47,8770.97
Battery Park,Gravesend-Sheepshead Bay	31,1433.62,179.35
Battery Park,Greenwich Village	3660,49107.50,5372.84
Battery Park,Greenwood	29,723.53,77.14
Battery Park,Hamilton Heights	28,1019.25,92.25
Battery Park,Harlem	121,4193.53,421.03
Battery Park,High Bridge	9,373.54,30.54
Battery Park,Hunts Point	3,113.50,0.00
Battery Park,Inwood	13,554.30,73.30
Battery Park,Jackson Heights	35,1639.01,214.90
Battery Park,Jamaica	11,658.66,68.50
Battery Park,Kings Bridge	2,88.44,0.00
Battery Park,Laurelton	2,42.00,2.00
Battery Park,Little Italy	682,9192.32,974.82
Battery Park,Lower East Side	1592,23872.14,2440.64
Battery Park,Mapleton-Flatlands	37,1327.52,124.12
Battery Park,Maspeth	5,175.55,15.05
Battery Park,Middle Village	17,685.01,49.69
Battery Park,Midtown	11083,262371.30,28007.14
Battery Park,Morningside Heights	119,3609.01,390.51
Battery Park,Morris Heights	2,93.50,15.50
Battery Park,Morris Park	4,214.50,18.00
Battery Park,Mott Haven	8,299.60,18.10
Battery Park,Murray Hill	2144,49660.83,5552.85
Battery Park,Nkew Gardens	10,540.02,75.20
Battery Park,North Sutton Area	228,5502.81,586.81
Battery Park,Park Slope	306,7678.43,1003.75
Battery Park,Parkchester	4,199.50,0.00
Battery Park,Queensboro Hill	5,266.10,21.77
Battery Park,Ridgewood	6,192.93,5.60
Battery Park,Riverdale	7,395.68,60.54
Battery Park,Saintalbans	4,290.84,62.01
Battery Park,Soho	4076,42849.37,4630.88
Battery Park,Soundview	2,93.50,2.00
Battery Park,South Bronx	2,92.40,15.40
Battery Park,Springfield Gardens	1,52.50,0.00
Battery Park,Spuyten Duyvil	6,282.95,28.87
Battery Park,Sunny Side	109,3774.61,485.07
Battery Park,Sunset Park	23,683.73,73.79
Battery Park,The Rockaways	5,397.32,39.00
Battery Park,Throggs Neck	3,159.10,10.10
Battery Park,Tremont	3,111.50,0.00
Battery Park,Tribeca	6525,50596.48,5203.52
Battery Park,Union Port	1,44.50,0.00
Battery Park,University Heights	3,135.67,24.17
Battery Park,Upper East Side	3128,88689.66,9488.00
Battery Park,Upper West Side	1948,47176.40,5412.63
Battery Park,Utopia	13,711.63,74.30
Battery Park,Wakefield-Williamsbridge	2,124.50,18.50
Battery Park,Washington Heights	87,3542.69,358.53
Battery Park,West Village	3540,39470.54,4362.55
Battery Park,Williams Bridge	1,51.50,2.00
Battery Park,Williamsburg	350,7272.48,903.66
Battery Park,Woodhaven-Richmond Hill	3,123.00,0.00
Battery Park,Woodside	26,1002.93,89.28
Battery Park,Yorkville	138,4452.73,496.23
Bay Ridge,Battery Park	5,166.66,36.00
Bay Ridge,Bay Ridge	148,1682.21,118.39
Bay Ridge,Bedford Park	1,77.83,0.00
Bay Ridge,Bedford-Stuyvesant	5,164.30,23.80
Bay Ridge,Bensonhurst	15,182.75,11.75
Bay Ridge,Boerum Hill	3,61.29,5.30
Bay Ridge,Borough Park	8,135.23,5.23
Bay Ridge,Bushwick	2,84.40,9.90
Bay Ridge,Canarsie	2,74.20,8.70
Bay Ridge,Carnegie Hill	1,6.00,1.00
Bay Ridge,Carroll Gardens	5,65.50,4.00
Bay Ridge,Chelsea	3,110.39,8.06
Bay Ridge,Clinton	1,44.00,6.67
Bay Ridge,Cobble Hill	3,63.62,7.62
Bay Ridge,Downtown	2,47.50,4.50
Bay Ridge,Dyker Heights	28,235.30,14.80
Bay Ridge,East Village	1,32.33,0.00
Bay Ridge,Financial District	7,183.39,23.07
Bay Ridge,Fort Green	10,279.80,29.80
Bay Ridge,Garment District	3,118.90,7.40
Bay Ridge,Glendale	1,47.00,2.00
Bay Ridge,Gramercy	7,130.05,15.05
Bay Ridge,Gravesend-Sheepshead Bay	23,502.86,22.87
Bay Ridge,Greenwich Village	3,94.99,14.50
Bay Ridge,Greenwood	9,135.30,5.80
Bay Ridge,Harlem	1,52.00,0.00
Bay Ridge,Mapleton-Flatlands	14,367.45,53.45
Bay Ridge,Middle Village	2,94.00,0.00
Bay Ridge,Midtown	10,399.59,16.11
Bay Ridge,North Sutton Area	2,68.50,9.50
Bay Ridge,Park Slope	10,223.15,20.65
Bay Ridge,Parkchester	1,88.33,10.00
Bay Ridge,Soho	2,57.29,8.46
Bay Ridge,South Bronx	1,60.33,0.00
Bay Ridge,Sunny Side	1,49.25,11.25
Bay Ridge,Sunset Park	18,172.90,4.40
Bay Ridge,Tribeca	3,109.65,22.82
Bay Ridge,Upper East Side	3,53.50,0.00
Bay Ridge,Upper West Side	1,35.50,0.00
Bay Ridge,Washington Heights	2,190.83,65.00
Bay Ridge,West Village	1,11.40,1.90
Bay Ridge,Williamsburg	10,321.45,40.95
Bay Ridge,Woodside	2,95.00,9.00
Bay Ridge,Yorkville	1,51.50,8.50
Baychester,Baychester	5,87.30,10.92
Baychester,Bedford Park	1,13.70,2.20
Baychester,Financial District	1,63.83,0.00
Baychester,Fordham	1,16.50,0.00
Baychester,Morris Park	1,7.00,0.00
Baychester,Wakefield-Williamsbridge	1,14.00,0.00
Bedford Park,Bedford Park	44,698.70,47.20
Bedford Park,Central Park	1,15.00,2.00
Bedford Park,Chelsea	1,49.08,3.08
Bedford Park,Clinton	2,21.40,1.90
Bedford Park,Fordham	9,69.38,1.88
Bedford Park,Garment District	1,7.00,0.00
Bedford Park,Gramercy	1,6.00,0.00
Bedford Park,Greenwich Village	1,10.00,0.00
Bedford Park,High Bridge	4,62.50,0.00
Bedford Park,Jackson Heights	1,59.10,9.77
Bedford Park,Kings Bridge	3,33.00,1.00
Bedford Park,Midtown	4,136.73,12.90
Bedford Park,Morningside Heights	1,26.00,0.00
Bedford Park,Morris Heights	1,14.50,0.00
Bedford Park,Morris Park	3,40.10,3.60
Bedford Park,Mott Haven	1,20.50,0.00
Bedford Park,Murray Hill	1,8.40,1.40
Bedford Park,Park Slope	1,77.78,12.95
Bedford Park,Parkchester	4,83.50,0.00
Bedford Park,Riverdale	2,21.50,0.00
Bedford Park,Soho	1,11.50,0.00
Bedford Park,South Bronx	5,97.50,0.00
Bedford Park,Spuyten Duyvil	1,14.50,0.00
Bedford Park,Throggs Neck	1,30.00,4.50
Bedford Park,Tremont	1,9.00,0.00
Bedford Park,University Heights	1,8.51,0.01
Bedford Park,Upper East Side	3,102.30,7.47
Bedford Park,Upper West Side	1,44.44,0.00
Bedford Park,Wakefield-Williamsbridge	5,65.00,5.00
Bedford Park,Washington Heights	7,144.90,3.90
Bedford Park,Williams Bridge	1,5.50,0.00
Bedford-Stuyvesant,Astoria-Long Island City	52,1571.21,183.75
Bedford-Stuyvesant,Battery Park	7,184.70,23.22
Bedford-Stuyvesant,Bay Ridge	22,785.90,94.91
Bedford-Stuyvesant,Bedford Park	2,123.16,6.00
Bedford-Stuyvesant,Bedford-Stuyvesant	1229,12124.20,1052.80
Bedford-Stuyvesant,Bensonhurst	1,37.50,0.00
Bedford-Stuyvesant,Boerum Hill	66,972.83,92.36
Bedford-Stuyvesant,Borough Park	16,306.10,24.10
Bedford-Stuyvesant,Brownsville	54,833.63,114.31
Bedford-Stuyvesant,Bushwick	393,4159.93,335.03
Bedford-Stuyvesant,Canarsie	26,549.00,24.00
Bedford-Stuyvesant,Carnegie Hill	4,125.40,11.40
Bedford-Stuyvesant,Carroll Gardens	55,968.86,103.91
Bedford-Stuyvesant,Central Park	3,72.70,3.20
Bedford-Stuyvesant,Chelsea	72,2062.65,272.19
Bedford-Stuyvesant,Chinatown	14,257.10,22.10
Bedford-Stuyvesant,Clinton	27,869.07,110.07
Bedford-Stuyvesant,Cobble Hill	11,213.59,26.60
Bedford-Stuyvesant,Corona	1,33.00,0.00
Bedford-Stuyvesant,Downtown	73,1042.21,94.21
Bedford-Stuyvesant,East Brooklyn	39,675.76,48.77
Bedford-Stuyvesant,East Harlem	10,405.00,40.50
Bedford-Stuyvesant,East Village	113,2290.80,200.80
Bedford-Stuyvesant,Financial District	38,961.33,115.52
Bedford-Stuyvesant,Flushing	1,31.50,0.00
Bedford-Stuyvesant,Fordham	1,50.00,0.00
Bedford-Stuyvesant,Forest Hills	8,224.25,13.25
Bedford-Stuyvesant,Fort Green	700,7268.02,627.57
Bedford-Stuyvesant,Garment District	58,1795.54,241.25
Bedford-Stuyvesant,Glendale	7,109.58,8.08
Bedford-Stuyvesant,Gramercy	70,1791.20,222.38
Bedford-Stuyvesant,Gravesend-Sheepshead Bay	8,280.48,42.98
Bedford-Stuyvesant,Greenwich Village	70,1659.20,175.25
Bedford-Stuyvesant,Greenwood	24,537.57,67.08
Bedford-Stuyvesant,Hamilton Heights	9,483.02,70.52
Bedford-Stuyvesant,Harlem	17,782.57,47.42
Bedford-Stuyvesant,Inwood	1,53.00,3.50
Bedford-Stuyvesant,Jackson Heights	15,414.42,47.42
Bedford-Stuyvesant,Jamaica	3,106.00,0.00
Bedford-Stuyvesant,Little Italy	21,479.52,55.02
Bedford-Stuyvesant,Lower East Side	115,2175.17,204.16
Bedford-Stuyvesant,Mapleton-Flatlands	51,1021.01,104.03
Bedford-Stuyvesant,Maspeth	3,58.50,7.00
Bedford-Stuyvesant,Middle Village	5,85.90,8.40
Bedford-Stuyvesant,Midtown	80,2659.52,291.72
Bedford-Stuyvesant,Morningside Heights	7,306.50,40.00
Bedford-Stuyvesant,Mott Haven	3,125.60,8.27
Bedford-Stuyvesant,Murray Hill	15,395.81,36.32
Bedford-Stuyvesant,Nkew Gardens	4,133.60,8.60
Bedford-Stuyvesant,North Sutton Area	4,129.65,18.65
Bedford-Stuyvesant,Park Slope	131,2030.68,231.23
Bedford-Stuyvesant,Parkchester	2,190.75,34.25
Bedford-Stuyvesant,Queens Village	1,47.90,7.90
Bedford-Stuyvesant,Queensboro Hill	1,38.00,4.00
Bedford-Stuyvesant,Ridgewood	54,747.87,77.88
Bedford-Stuyvesant,Saintalbans	1,35.50,5.00
Bedford-Stuyvesant,Soho	43,999.90,111.90
Bedford-Stuyvesant,South Bronx	2,89.50,0.00
Bedford-Stuyvesant,Springfield Gardens	3,130.95,21.45
Bedford-Stuyvesant,Sunny Side	40,956.66,95.16
Bedford-Stuyvesant,Sunset Park	15,380.30,24.80
Bedford-Stuyvesant,The Rockaways	2,94.00,9.50
Bedford-Stuyvesant,Tremont	1,61.00,10.17
Bedford-Stuyvesant,Tribeca	21,582.89,38.39
Bedford-Stuyvesant,Upper East Side	47,1449.93,135.92
Bedford-Stuyvesant,Upper West Side	28,1204.66,137.67
Bedford-Stuyvesant,Utopia	3,92.95,9.45
Bedford-Stuyvesant,Wakefield-Williamsbridge	1,62.50,0.00
Bedford-Stuyvesant,Washington Heights	9,447.70,33.20
Bedford-Stuyvesant,West Village	27,771.04,97.04
Bedford-Stuyvesant,Williams Bridge	3,204.98,15.00
Bedford-Stuyvesant,Williamsburg	579,6725.56,638.77
Bedford-Stuyvesant,Woodhaven-Richmond Hill	4,79.50,0.00
Bedford-Stuyvesant,Woodside	12,305.75,21.75
Bedford-Stuyvesant,Yorkville	6,225.29,24.80
Bensonhurst,Battery Park	2,65.33,5.00
Bensonhurst,Bay Ridge	6,66.40,9.40
Bensonhurst,Bedford-Stuyvesant	4,120.50,7.00
Bensonhurst,Bensonhurst	47,1415.40,37.90
Bensonhurst,Boerum Hill	2,43.00,0.00
Bensonhurst,Borough Park	5,68.00,2.00
Bensonhurst,Bushwick	1,23.50,0.00
Bensonhurst,Canarsie	2,65.66,5.00
Bensonhurst,Carnegie Hill	1,15.00,1.00
Bensonhurst,Dyker Heights	2,9.50,0.00
Bensonhurst,East Brooklyn	1,31.50,0.00
Bensonhurst,Financial District	2,45.13,4.30
Bensonhurst,Garment District	6,110.20,3.20
Bensonhurst,Gramercy	2,53.00,2.00
Bensonhurst,Gravesend-Sheepshead Bay	10,108.60,8.60
Bensonhurst,Greenwich Village	2,23.95,1.95
Bensonhurst,Hamilton Heights	1,13.80,2.30
Bensonhurst,Lower East Side	1,14.00,0.00
